node_id,index,UniProt
9606.ENSP00000216714,165,P27695
9606.ENSP00000216727,166,Q86U42
9606.ENSP00000216733,167,O43281
9606.ENSP00000216756,168,Q9BW66
9606.ENSP00000216780,169,Q16822
9606.ENSP00000216797,170,P25963
9606.ENSP00000216802,171,Q9UL46
9606.ENSP00000216807,172,Q5PSV4
9606.ENSP00000216911,173,O14965
9606.ENSP00000216962,174,P11216
9606.ENSP00000216968,175,Q9UNN8
9606.ENSP00000217109,176,Q05048
9606.ENSP00000217121,177,O43399
9606.ENSP00000217131,178,Q9UBR2
9606.ENSP00000217169,179,Q96CA5
9606.ENSP00000217244,180,P68400
9606.ENSP00000217246,181,A1Z1Q3
9606.ENSP00000217260,182,Q2I0M5
9606.ENSP00000217381,183,Q13424
9606.ENSP00000217386,184,P01178
9606.ENSP00000217407,185,P18428
9606.ENSP00000217423,186,P01036
9606.ENSP00000217426,187,P23526
9606.ENSP00000217455,188,O14734
9606.ENSP00000217456,189,Q9HDC9
9606.ENSP00000217515,190,O43396
9606.ENSP00000217901,191,P51553
9606.ENSP00000217958,192,O75832
9606.ENSP00000217971,193,O00264
9606.ENSP00000218004,194,Q9NPJ8
9606.ENSP00000218008,195,Q9UN42
9606.ENSP00000218068,196,O60829
9606.ENSP00000218099,197,P00740
9606.ENSP00000218230,198,Q9UHG2
9606.ENSP00000218340,199,O75695
9606.ENSP00000218348,200,P51784
9606.ENSP00000218388,201,P01033
9606.ENSP00000218516,202,P06280
9606.ENSP00000218758,203,P13686
9606.ENSP00000219022,204,Q6UX06
9606.ENSP00000219069,205,O14978
9606.ENSP00000219070,206,P08253
9606.ENSP00000219097,207,Q9Y5N6
9606.ENSP00000219169,208,P61970
9606.ENSP00000219197,209,P23435
9606.ENSP00000219204,210,Q9Y2Y0
9606.ENSP00000219235,211,O00626
9606.ENSP00000219240,212,Q02127
9606.ENSP00000219244,213,Q92583
9606.ENSP00000219252,214,P19387
9606.ENSP00000219281,215,Q9BQ65
9606.ENSP00000219313,216,P51665
9606.ENSP00000219431,217,P29372
9606.ENSP00000219476,218,P49815
9606.ENSP00000219479,219,O00746
9606.ENSP00000219481,220,Q9NUI1
9606.ENSP00000219548,221,Q9UNE7
