MDM2,SNAI2
SMAD4,SNAI2
SNAI2,SOX10
EZH2,SNAI2
HDAC2,SNAI2
GSK3B,SNAI2
SMAD2,SNAI2
CTNNB1,SNAI2
FN1,SNAI2
BMI1,SNAI2
PAX3,SNAI2
MYC,SNAI2
CTBP1,SNAI2
JUN,SNAI2
RTF1,RTF2
CDH17,CTNNB1
CDH17,PECAM1
CDH17,NECTIN1
CDH17,KDR
CDH17,VCL
CDH17,CTNNA1
CDH17,TJP1
CDH17,OCLN
CDH17,CTNNA2
CDH17,PTPN1
CDH17,CDH5
CDH17,CDHR5
CDH17,OLFM4
CDH17,EGFR
CDH17,FN1
CDH17,CTNNA3
CDH17,JUP
CDH17,SRC
CDC42,CDH17
CDH17,CLSTN1
B3GALT6,B4GALT7
B3GAT3,B4GALT7
B4GALT7,CHST14
GABARAPL2,SQSTM1
GABARAPL2,NBR1
ATG7,GABARAPL2
ATG5,GABARAPL2
ATG3,GABARAPL2
BNIP3L,GABARAPL2
ATG4B,GABARAPL2
BNIP3,GABARAPL2
CALCOCO2,GABARAPL2
ATG4A,GABARAPL2
GABARAPL2,UBA5
BECN1,GABARAPL2
ATG4C,GABARAPL2
FUNDC1,GABARAPL2
GABARAPL2,TAX1BP1
GABARAPL2,PIK3C3
GABARAPL2,TBC1D25
CD300C,GABARAPL2
GABARAPL2,SIRT1
GABARAP,GABARAPL2
MYOC,OLFM3
MYOC,SPARCL1
FN1,MYOC
MYOC,PEX5
MYOC,SNCG
LINGO1,MYOC
MYOC,NTF4
ARG1,OTC
ARG2,OTC
OAT,OTC
NAGS,OTC
ACY1,OTC
ASL,OTC
NOS3,OTC
OTC,PGM5
OTC,PGM1
OTC,PYGL
OTC,PYGB
OTC,PGM2
CS,OTC
MRI1,MTAP
ADI1,MRI1
CYREN,MRI1
MRI1,PNP
ADD2,MRI1
MAG,RTN4R
NGFR,RTN4R
ANPEP,RTN4R
LINGO1,RTN4R
RTN4R,TNFRSF19
OMG,RTN4R
KIAA0319L,RTN4R
ADGRB1,RTN4R
EMG1,RTN4R
MOG,RTN4R
APP,RTN4R
BDNF,RTN4R
OLFM1,RTN4R
PSMA4,PSMB3
PSMA3,PSMA4
PSMA4,PSMB9
PSMA4,PSMB2
PSMA4,PSMA5
PSMA4,PSMD7
PSMA4,PSMB1
PSMA4,PSMA6
PSMA1,PSMA4
PSMA4,PSMB6
PSMA4,PSMB4
PSMA4,PSMB5
PSMA4,PSMD6
PSMA4,PSMB7
PSMA2,PSMA4
PSMA4,PSMD4
PSMA4,PSMA7
PSMA4,PSMC3
PSMA4,PSMC5
PSMA4,PSMD11
SPA17,ZPBP
SPACA1,ZPBP
DCN,EGFR
DCN,TGFB1
DCN,FN1
DCN,TLR2
BGN,DCN
DCN,YBX1
DCN,IGF1
DCN,TLR4
DCN,MET
DCN,HSPG2
DCN,VCAN
DCN,LUM
ACAN,DCN
DCN,TGFB3
DCN,ERBB2
DCN,FGF7
DCN,MFAP2
DCN,VTN
DCN,FGF10
DCN,FGF22
TNFRSF17,TNFSF13B
MZB1,TNFRSF17
TNFRSF13B,TNFRSF17
TNFRSF13C,TNFRSF17
CD40LG,TNFRSF17
JCHAIN,TNFRSF17
POU2AF1,TNFRSF17
CD27,TNFRSF17
CD79A,TNFRSF17
CD38,TNFRSF17
FCRL5,TNFRSF17
CD70,TNFRSF17
GUCA1A,GUCA1B
AIPL1,GUCA1A
CNGB1,GUCA1A
GRN,SORT1
GRN,TARDBP
GRN,SLPI
GRN,HSPG2
GRN,TMEM106B
GRN,MAPT
CTSD,GRN
GRN,PSAP
CHMP2B,GRN
CS,GRN
GRN,SLC25A1
GRN,TNFRSF1A
DRG1,GRN
C15orf40,GRN
GRN,POLE2
GRN,TNFRSF1B
GRN,VCP
SNAP23,VAMP3
STX6,VAMP3
STX1A,VAMP3
SNAP25,VAMP3
STX4,VAMP3
STX3,VAMP3
VAMP3,VTI1A
VAMP3,VAMP7
STX1B,VAMP3
STX2,VAMP3
STX10,VAMP3
VAMP2,VAMP3
STX12,VAMP3
VAMP3,VAMP8
SNAP29,VAMP3
VAMP3,VTI1B
STX7,VAMP3
CPLX1,VAMP3
SYT1,VAMP3
NAPA,VAMP3
UTS2,UTS2R
UTS2,UTS2B
EDN1,UTS2
SST,UTS2
AGT,UTS2
RCN1,ZWINT
CHRD,TLL1
OXSR1,RELT
RELT,TRAF1
RELT,TGFBR2
RELT,TNFRSF19
DSG2,PKP2
DSC2,PKP2
JUP,PKP2
CTNNA3,PKP2
DSC3,PKP2
GJA1,PKP2
DSG1,PKP2
DSG3,PKP2
PKP2,TGFB3
CTNNB1,PKP2
CDH2,PKP2
DSC1,PKP2
PKP2,PRKCA
CTNNA1,PKP2
MYBPC3,PKP2
MARK3,PKP2
INPP4A,OCRL
INPP4A,INPP5B
INPP4A,PTEN
INPP4A,INPP5D
INPP4A,INPP5E
INPP4A,PIK3C2A
INPP4A,PIK3C3
INPP4A,MTMR1
INPP4A,MTMR6
FIG4,INPP4A
INPP4A,INPP5A
INPP4A,ITPK1
INPP4A,PIK3R1
IMPA2,INPP4A
INPP4A,INPP4B
IMPA1,INPP4A
INPP4A,MTMR7
BPNT2,INPP4A
INPP4A,RAB5A
CD22,PTPN6
CD22,CD79A
CD22,LYN
CD22,CD79B
CD22,SYK
CD200R1,CD22
CD22,CD5
CD22,CR2
CD22,CD72
CD22,CD81
CD22,MME
CD22,CD4
CD2,CD22
CD22,CD38
CD22,GRB2
CD22,GAL
CD22,CD7
BLNK,CD22
CD22,SIGLEC15
BTLA,CD22
GSC2,SLC25A1
TRIB2,TRIM21
TRIB2,UBE2E1
OTUD5,UBC
OTUD5,RPS27A
OTUD5,UBB
OTUD5,TBK1
OTUD5,USP11
C1GALT1C1,ST6GALNAC1
GCNT1,ST6GALNAC1
B3GNT6,ST6GALNAC1
GALNT4,ST6GALNAC1
GALNT2,ST6GALNAC1
GALNT1,ST6GALNAC1
GALNT3,ST6GALNAC1
ST3GAL1,ST6GALNAC1
GALNT9,ST6GALNAC1
GALNT11,ST6GALNAC1
ST3GAL2,ST6GALNAC1
GALNT16,ST6GALNAC1
GALNT10,ST6GALNAC1
SLC25A18,ST6GALNAC1
GC,ST6GALNAC1
ST6GALNAC1,ST6GALNAC5
CD209,ICAM3
ICAM3,ITGB2
ICAM3,ITGAL
CLEC4M,ICAM3
ICAM2,ICAM3
ICAM1,ICAM3
ICAM3,MSN
ICAM3,ITIH4
ICAM3,VCAM1
CD4,ICAM3
KIF22,TACC3
KIF22,OBP2B
KIF22,MAZ
BIRC5,KIF22
KIF22,PRC1
KIF22,RACGAP1
KIF22,PLK1
KIF22,OBP2A
AURKA,KIF22
KIF22,LCN1
KIF22,PBK
KIF22,UBE2C
KIF22,KIF23
CCNA2,KIF22
APOD,KIF22
HIRIP3,KIF22
LTA,TNFRSF1A
BIRC2,TNFRSF1A
CYLD,TNFRSF1A
TNFRSF1A,TRADD
IKBKB,TNFRSF1A
TNF,TNFRSF1A
RIPK1,TNFRSF1A
BIRC3,TNFRSF1A
TNFRSF1A,TNFRSF1B
IKBKG,TNFRSF1A
FAS,TNFRSF1A
FADD,TNFRSF1A
CASP8,TNFRSF1A
FASLG,TNFRSF1A
SHARPIN,TNFRSF1A
TBK1,TNFRSF1A
TNFAIP3,TNFRSF1A
RNF31,TNFRSF1A
IL6,TNFRSF1A
IL1B,TNFRSF1A
NPFF,PRLH
PRLH,QRFP
PRL,PRLH
FSTL3,MSTN
FSTL3,INHBA
FSTL3,GDF11
FSTL3,INHBB
BMP2,FSTL3
EFNA5,EPHA8
EFNA2,EPHA8
EFNA1,EPHA8
EFNA3,EPHA8
ABL1,EPHA8
EFNA4,EPHA8
EPHA8,RASA1
EFNB3,EPHA8
EFNB1,EPHA8
EFNB2,EPHA8
EPHA8,EPHB4
KRT14,KRT5
KRT14,KRT16
KRT14,KRT17
KRT14,TP63
DSG3,KRT14
KRT14,PGR
KRT14,KRT6A
DSG1,KRT14
ITGA6,KRT14
KRT20,PIP
KRT20,PAX8
CHGA,KRT20
ENO2,KRT20
CALB2,KRT20
KRT20,MME
KRT20,NCAM1
KRT20,MUC1
ECHS1,HSD17B10
ACAA1,HSD17B10
HSD17B10,POP7
HSD17B10,TARBP2
HSD17B10,RPP40
HSD17B10,RPP25
HSD17B10,RPP30
AGO2,HSD17B10
DHRS11,HSD17B10
APP,HSD17B10
HADH,HSD17B10
HSD17B10,TRMT61B
DHX9,HSD17B10
HSD17B10,PRKRA
ECI1,HSD17B10
ERN1,HSD17B10
AGO1,HSD17B10
AGO3,HSD17B10
FGF4,FGFR1
FGF4,FGFR2
FGF4,FGFR4
FGF4,KL
EGF,FGF4
FGF4,FGFR3
FGF4,HSPG2
FGF4,KLB
FGF4,FGFBP1
DCN,FGF4
FGF4,KDR
FGF4,SHH
CD44,FGF4
EGFR,FGF4
FGF4,FLT4
FGF4,PDGFRB
FGF4,NTRK1
FGF4,HGF
CDH2,FGF4
FGF4,PDGFRA
B4GALT1,ST6GAL1
B4GALT2,ST6GAL1
B4GALT3,ST6GAL1
ST6GAL1,ST6GAL2
MGAT5,ST6GAL1
FUT8,ST6GAL1
TIMM21,TIMM50
TIMM21,TIMM23
TIMM10,TIMM21
DNAJC19,TIMM21
HSPA9,TIMM21
NDUFB8,TIMM21
DNAJC15,TIMM21
GRPEL1,TIMM21
RABEPK,TIMM21
SAMM50,TIMM21
PMPCA,TIMM21
BDNF,NGFR
NGFR,NTF3
NGF,NGFR
NGFR,NTRK1
LINGO1,NGFR
NGFR,SORT1
NGFR,NTF4
NGFR,RIPK2
ARHGDIA,NGFR
NGFR,NTRK2
MAGED1,NGFR
NGFR,RHOA
NGFR,NTRK3
ARHGDIB,NGFR
APP,NGFR
NGFR,TRADD
NGFR,SORCS2
NGFR,OMG
FADD,NGFR
NTN1,UNC5A
DSCAM,NTN1
NTN1,UNC5B
DCC,NTN1
NTN1,UNC5C
NEO1,NTN1
NTN1,UNC5D
DRAXIN,NTN1
NTN1,RGMB
NTN1,SLIT3
NTN1,ROBO3
NTN1,ROBO2
NTN1,ROBO1
NTN1,SLIT2
FYN,NTN1
NTN1,SLIT1
NTN1,PTK2
CDC42,NTN1
NTN1,SRC
NTN1,SEMA3A
SCT,VIP
GCG,SCT
ADCYAP1,SCT
GIP,SCT
GNAS,SCT
GHRH,SCT
GLP1R,SCT
SCT,SST
CCK,SCT
PPY,SCT
PTH,SCT
MLN,SCT
CALCR,SCT
ADCYAP1R1,SCT
CRH,SCT
INS,SCT
GRP,SCT
NTS,SCT
ADGRE5,SCT
PYY,SCT
RHOA,STK10
CA12,CA9
MAP2K5,MAP3K3
MAP2K5,PRKCZ
MAP2K5,SQSTM1
TIGAR,TP53
PFKM,TIGAR
HK2,TIGAR
PFKFB3,TIGAR
PFKFB4,TIGAR
PFKFB1,TIGAR
FBP2,TIGAR
FBP1,TIGAR
MPI,TIGAR
TIGAR,TPI1
SCO2,TIGAR
HK1,TIGAR
HK3,TIGAR
PKM,TIGAR
PGK1,TIGAR
GPI,TIGAR
FGF20,FGFR1
FGF20,FGFR2
FGF20,FGFR4
FGF20,KL
EGF,FGF20
FGF20,FGFR3
FGF20,HSPG2
FGF20,FGFBP1
DCN,FGF20
FGF20,KDR
EGFR,FGF20
FGF20,FLT4
FGF20,KLB
FGF20,FRS2
FGF20,PDGFRB
FGF20,NTRK1
CD44,FGF20
CDH2,FGF20
FGF20,FLT1
FGF20,HGF
FIG4,MTMR7
INPP4B,MTMR7
INPP5F,MTMR7
MTMR7,PIK3C3
MTMR7,PLCD3
CPB2,F2
CPB2,PLG
CPB1,CPB2
CPB2,PLAT
CPB2,SERPINF2
C5,CPB2
CPB2,CPE
CPB2,SERPINF1
CPB2,CPN1
C3,CPB2
A2M,CPB2
CPB2,KNG1
CPB2,FGG
CPB2,SERPINE1
CPB2,SERPINC1
CPB2,SERPIND1
CPB2,F11
CPB2,F7
CPB2,PROC
APOH,CPB2
NDUFB4,NDUFV2
NDUFA5,NDUFB4
NDUFB4,NDUFB8
NDUFB11,NDUFB4
NDUFB4,NDUFS4
NDUFB4,NDUFB6
NDUFA2,NDUFB4
NDUFB10,NDUFB4
NDUFB4,UQCRB
COX5A,NDUFB4
COX6C,NDUFB4
COX5B,NDUFB4
NDUFAF1,NDUFB4
COX7A1,NDUFB4
COX6A2,NDUFB4
NDUFAF2,NDUFB4
ATP5PF,NDUFB4
NDUFAF3,NDUFB4
ATP5PO,NDUFB4
FOXRED1,NDUFB4
DERL1,ERLEC1
CANX,ERLEC1
ERLEC1,HSP90B1
ERLEC1,UBE2J1
ERLEC1,KREMEN2
ERLEC1,MAN1B1
ERLEC1,VCP
ERLEC1,FAF2
ERLEC1,SERPINA1
ERLEC1,UBE2G2
ERLEC1,HSPA5
EDEM2,ERLEC1
CALR,ERLEC1
ERLEC1,MLEC
DNAJC10,ERLEC1
ERLEC1,SHH
CLIC5,EZR
CLIC5,RDX
CLIC5,PLS1
CLIC4,CLIC5
CLIC2,CLIC5
CLIC5,MSN
CLIC5,TWF1
CLIC5,EPB41L1
ADA,FAP
FAP,GCG
FAP,FN1
DTYMK,GAL3ST2
CHST5,GAL3ST2
CA2,OSTM1
OSTM1,TNFRSF11A
OSTM1,TNFSF11
ACAT1,OXCT1
HMGCL,OXCT1
ACAT2,OXCT1
HMGCS2,OXCT1
BDH2,OXCT1
AACS,OXCT1
HMGCS1,OXCT1
ACAA1,OXCT1
OXCT1,SDHB
DOHH,OXCT1
PILRA,PTPN11
CD99L2,PILRA
PIANP,PILRA
LAIR1,PILRA
COLEC12,PILRA
PILRA,TNFRSF14
NPDC1,PILRA
PILRA,PTPN6
CLEC4G,PILRA
LILRB1,PILRA
DIMT1,UTP6
DIMT1,EMG1
DIMT1,FBL
DIMT1,RPS12
DIMT1,SNU13
DIMT1,RPS19
DIMT1,RPS5
DIMT1,TRMT112
DIMT1,RPS3A
DIMT1,RPS14
DIMT1,RPS7
DIMT1,NIP7
DIMT1,RPS4X
DIMT1,MRTO4
DIMT1,RPS27A
DIMT1,METTL1
DIMT1,MAK16
DIMT1,RPS20
DIMT1,RPS3
DIMT1,EXOSC1
DNAI1,NME8
CASS4,NME8
CCDC103,NME8
DYNLT3,NME8
DYNLT1,NME8
NME8,TXN
MSRA,NME8
INPP5D,NME8
HBD,HBQ1
HBE1,HBQ1
HBB,HBQ1
AHSP,HBQ1
HBG2,HBQ1
HBQ1,HBZ
HBQ1,RFESD
HBQ1,HP
RBM22,SNRPF
RBM22,SYF2
BUD31,RBM22
RBM22,SNRPA1
