GeneSymbol,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
CRYBB2,0.0204112288969715,0.9751356130901336,-0.0195410481550641,2.693367486124869,0.0168468585788833,0.896860062069435,-0.0751161973745716,0.6963644458562293
RAF1,-0.0180946117447645,0.06391406257328075,0.00497745552225835,0.7231139420187516,0.00753346649032801,0.40521576700367784,-0.0520582152572585,0.43211079534063457
ZNF41,0.0497063353693305,3.1122353244374517,0.00406659189653597,0.33098660746776,0.000384561412394729,0.41407777336560375,0.0155778118355635,0.10216703284212693
ELK1,0.0289900632017576,2.556575902667186,0.0100326969600217,0.2363049560001316,0.000470940090115457,0.33938247470138627,0.0880275477148532,0.8881514394415021
GUCA1A,-0.0148368027676226,0.8200466111153155,-0.00615977777281415,1.7386015081168977,-0.0540770677065579,1.0198035694119145,0.0304281221856745,0.2191073221368507
BECN1,0.0300804896103858,1.4573097832534434,-0.0274406696522907,2.2383216951092333,-0.0872069060302116,2.8204740915926614,-0.0411342972270791,0.3193468885257858
OCRL,-0.000224375197177218,0.4203710202945653,-0.00785379885158365,2.2629609960733896,-0.0219016862448775,0.5357388908028382,-0.0321425549270677,0.23376874525316532
SPDEF,-0.0929309165713052,18.187979746550965,-0.0402566225019821,5.092225149912989,-0.00363723730948151,0.17087905112092924,-0.000160118289130557,0.0009450685726029514
SNAI2,0.0320058621323024,1.487737850573268,0.0145250597036046,0.06200397984768309,0.0259636746630291,0.37698263605661086,0.00842543562788949,0.052498496013594874
KCNAB2,0.00932971214211225,1.0382567011178416,0.0259329430835014,7.146800305660326,-0.00111522321351571,0.08320973762926256,0.0431846107936468,0.3353377803808908
POLH,0.0168033393285295,0.7797118807658341,-0.0327016708618454,2.893676984065943,0.0372263681336992,2.7569878279825772,-0.0906497896398675,0.9110871373893743
VDR,-0.0218652847502482,2.646673407165375,-0.0223518676382297,1.7831242058398264,0.0623336361625072,1.3518070576941692,-0.0211704637542057,0.14393331652842606
HOGA1,-0.0176576920988719,0.9992539390511267,-0.0356498748158966,4.805782498292709,-0.015124365953257,0.27908138036799096,0.145684115060116,1.9045043026045227
DLD,-0.0543811555503492,3.796583685611321,0.0361093794971752,11.644649972931894,-0.0625510248154697,1.4120953692119582,0.0896938566397664,0.9374615431268088
MUTYH,0.0186380776887936,1.2733102744528955,-0.0136837291685608,1.2197443044394582,-0.0198826311522789,0.38021358275558415,-0.0694268438177919,0.6313519880794214
DUSP4,0.0290337363011861,0.6094863119442833,-0.0150378164647529,4.687111139605758,-0.0214110861026103,0.3085817490006968,-0.0372474864846146,0.2810127333243156
ZHX3,-0.0517005303806349,7.5087338886103465,-0.0340707241477509,8.245328147643557,0.038780752930206,0.6830008950885077,-0.0851539499433726,0.9035056239345349
SIGLEC12,0.0032522367932446,0.07808119263596447,-0.0194130200888535,2.8750440337320073,-0.035502684984367,0.4490111305559685,-0.0174914074321022,0.1162776056749067
PNP,-0.113955288219679,18.546400217453428,0.0564671738322754,15.104641147285317,0.0526416511684593,0.905697906804904,0.0181017590693934,0.12301477435002886
TP63,-0.0108678229354866,0.6638525866375217,0.04426655497894,4.131253060289739,-0.0208975090177206,0.20344560919483448,0.0697947772099076,0.6296466861283188
HNF4A,0.0463275538003404,1.3614017759945267,-0.0499584680169743,2.1176998170796537,0.0848431985048458,2.4172634282874745,-0.0311816117645805,0.22552602937169686
SGK3,0.0277348247088788,2.710185638196775,0.0485021314051048,8.515510844617417,0.00606695219100616,0.2106025986876091,-0.0509207676897161,0.4188670548951798
BRD4,0.00383089351348578,0.29358605165938073,0.055797303955607,9.346977958456641,-0.00872264453225642,0.46423208368565877,0.0156884462710452,0.10256047588533453
WNT10A,-0.0337162480999404,4.0085977689710655,0.0251333509682322,0.9691911062306691,0.0293957121298062,0.5428594882687617,-0.0876619492555631,0.8677663894043887
CUL3,-0.0437904520502155,2.6068499379476027,0.0819158634104643,25.672500198319746,0.0792574261840478,1.8845488161144484,0.0179206481492109,0.12171892847263642
BIRC2,-0.0993607443287311,13.12663691309972,0.0640608676933974,11.271590269230988,0.0190652523730666,0.27082848324384867,0.0732657541648425,0.6731147775212766
NCF2,0.0678283830700812,6.967947794827319,-0.0271574251614573,10.982982293618214,-0.0429993745877851,0.8244504677869419,0.05330558745929,0.4382020188869685
CBFB,0.0172766074058309,1.6569990693626588,-0.0020906024381988,0.6048426388999235,-0.034698699025821,0.4735654755642922,0.0650582318271184,0.5730580370749772
TERF1,0.032475677655747,2.101299923163474,-0.00624074809723834,2.024173772587443,-0.0224408469747369,0.2985652198126508,0.0420570056444224,0.32490769716848283
ILK,-0.0906230115155913,9.790545673199256,0.0523038031688901,15.656213409057845,0.00980777614128448,0.6867616647914692,-0.0110951333120284,0.07102280624917705
GAN,0.0509197749953268,3.211041582755408,0.0207635910127238,0.6323270869789966,-0.0252248836852747,0.4728168493583681,0.00848612250613743,0.052959922922592564
FOXM1,-0.0385833013186866,1.277160815703063,0.0402316737592898,13.213475148656103,0.0319267851943374,0.4328234561117444,0.0244395951109455,0.17159630417689706
RAD23A,-0.10610597429851,16.63207149472848,0.06353924279603,15.856842262261829,0.104913081936285,2.917388723021909,0.0516658572388796,0.43148957661731097
FANCL,0.00445206638107348,0.09337986601069996,-0.0109078008418851,1.7921163848694208,0.0153707071115262,0.6932789506280912,-0.0432114621580566,0.3376169353089352
RBBP9,0.000564296253275124,0.09721385893358463,0.0785685483001886,9.835785687691635,0.042067983323329,0.7742226804860938,-0.00134841072025301,0.008060848697376086
PIN1,0.00588214732554053,0.658941980556172,-0.0060249828734568,0.2605489925412833,0.0202462012944839,0.3370331938011722,0.02865616394884,0.20376934210032638
PLCG2,-0.0377646145334439,0.9382351022650187,0.05471439235032,17.452821611541875,0.0629956608669763,1.3433424609276459,0.0269338653322785,0.1919028306200257
TDP1,-0.00189986210300694,0.703379771080659,0.027952372134012,2.939016702035372,0.0122890460490734,0.15039890092702174,0.0146209680670037,0.09544021324489499
BRD2,0.0311164217976134,1.6452657918036635,0.0253396274069955,0.25128203433110163,-0.0303727142657697,0.47447747202930274,-0.015585275276787,0.10267555022358099
