UniProt
UniProt
P11473
P29460|Q9NPF7
P29459|P29460
P43631
P25189
P01876|P01877
P55087
P0DML2|P0DML3
P01859
P01861
Q3KNS1
P15692
P53779
P54317
P07203
P00488|P05160
P05109|P06702
P43632
P43359
Q9UEU5
P24043|P07942|P11047
P08476|P55103
P0C0L4|P0C0L5
P30711
P08514|P05106
P06756|P05106
P06756|P18564
P06756|P26012
P06756|P05556
P29459|Q14213
Q9H227
P13612|P05556
P01732|P10966
Q9UKX5|P05556
Q9NS00|Q96EU7
P61088|Q13404
P62068|Q8TAF3
O75317|Q8TAF3
P61088|Q15819
O94782|Q8TAF3
K9M1U5
Q16552|Q96PD4
P05111|P08476
P26006|P05556
P20701|P05107
P17301|P05556
P08648|P05556
Q9UBE0|Q9UBT2
P51668|P0CG47
P61077|P0CG47
P68036|P0CG47
Q13564|Q8TBC4
P05231|P08887
O43423
Q56UQ5
Q8WWF6
P0CG29
P07357|P07358|P07360
Q5JWF2|P63092
Q13066
O75462|Q9UBD9
P07384|P04632
P01857
P02745|P02746|P02747
O95390|O14793
P02671|P02675|P02679
Q8NEV9|Q14213
P01215|P01229
P01215|P01225
P01871
P24941|P20248
Q00535|Q15078
P49336|P24863
P42336|P27986
P06493|P14635
P56199|P05556
P01374|Q06643
P01215|P01222
O00206|Q9Y6Y9
P12277|P06732
P40925
P07195
P01854
P08476|P09529
P01031|P13671
Q08209|P63098
P01215|P0DN86|P0DN87
P69905|P68871
P06756|P18084
Q14943
Q13131|Q9Y478|P54619
P68400|P67870
P19784|P67870
P54646|O43741|P54619
O43318|Q15750
P02794|P02792
Q86Y30
Q8N6C8
Q86Y29
P01602
P79483
P43627
Q8N109
Q8TAI1
P11117
Q9H7B7
