UniProt,ENSP,source
Q92520,9606.ENSP00000353025,Ensembl_HGNC_uniprot_ids
Q92520,9606.ENSP00000353025,Ensembl_UniProt
Q92520,9606.ENSP00000353025,UniProt_AC
Q92522,9606.ENSP00000329662,Ensembl_HGNC_uniprot_ids
Q92522,9606.ENSP00000329662,Ensembl_UniProt
Q92522,9606.ENSP00000329662,UniProt_AC
Q92523,9606.ENSP00000379011,Ensembl_HGNC_uniprot_ids
Q92523,9606.ENSP00000379011,Ensembl_UniProt
Q92523,9606.ENSP00000379011,UniProt_AC
Q92541,9606.ENSP00000374280,Ensembl_HGNC_uniprot_ids
Q92541,9606.ENSP00000374280,Ensembl_UniProt
Q92541,9606.ENSP00000374280,UniProt_AC
Q92547,9606.ENSP00000260810,Ensembl_HGNC_uniprot_ids
Q92547,9606.ENSP00000260810,Ensembl_UniProt
Q92547,9606.ENSP00000260810,UniProt_AC
Q92551,9606.ENSP00000482032,Ensembl_HGNC_uniprot_ids
Q92551,9606.ENSP00000482032,Ensembl_UniProt
Q92551,9606.ENSP00000482032,UniProt_AC
