UniProt,ENSP,source
Q96EM0,9606.ENSP00000247194,Ensembl_HGNC_uniprot_ids
Q96EM0,9606.ENSP00000247194,Ensembl_UniProt
Q96EM0,9606.ENSP00000247194,UniProt_AC
Q96EN8,9606.ENSP00000261326,Ensembl_HGNC_uniprot_ids
Q96EN8,9606.ENSP00000261326,Ensembl_UniProt
Q96EN8,9606.ENSP00000261326,UniProt_AC
Q96EP0,9606.ENSP00000315112,Ensembl_HGNC_uniprot_ids
Q96EP0,9606.ENSP00000315112,Ensembl_UniProt
Q96EP0,9606.ENSP00000315112,UniProt_AC
Q96EP1,9606.ENSP00000392395,Ensembl_HGNC_uniprot_ids
Q96EP1,9606.ENSP00000392395,Ensembl_UniProt
Q96EP1,9606.ENSP00000392395,UniProt_AC
Q96EP5,9606.ENSP00000233078,Ensembl_HGNC_uniprot_ids
Q96EP5,9606.ENSP00000233078,Ensembl_UniProt
Q96EP5,9606.ENSP00000233078,UniProt_AC
Q96EQ0,9606.ENSP00000370395,Ensembl_HGNC_uniprot_ids
Q96EQ0,9606.ENSP00000370395,Ensembl_UniProt
Q96EQ0,9606.ENSP00000370395,UniProt_AC
Q96ER9,9606.ENSP00000379047,Ensembl_HGNC_uniprot_ids
Q96ER9,9606.ENSP00000379047,Ensembl_UniProt
Q96ER9,9606.ENSP00000379047,UniProt_AC
Q96ES7,9606.ENSP00000316114,Ensembl_HGNC_uniprot_ids
Q96ES7,9606.ENSP00000316114,Ensembl_UniProt
Q96ES7,9606.ENSP00000316114,UniProt_AC
Q96EU7,9606.ENSP00000304364,Ensembl_HGNC_uniprot_ids
Q96EU7,9606.ENSP00000304364,Ensembl_UniProt
Q96EU7,9606.ENSP00000304364,UniProt_AC
Q96EV8,9606.ENSP00000341680,Ensembl_HGNC_uniprot_ids
Q96EV8,9606.ENSP00000341680,Ensembl_UniProt
Q96EV8,9606.ENSP00000341680,UniProt_AC
Q96EY4,9606.ENSP00000351380,Ensembl_HGNC_uniprot_ids
Q96EY4,9606.ENSP00000351380,Ensembl_UniProt
Q96EY4,9606.ENSP00000351380,UniProt_AC
Q96EY8,9606.ENSP00000445920,Ensembl_HGNC_uniprot_ids
Q96EY8,9606.ENSP00000445920,Ensembl_UniProt
Q96EY8,9606.ENSP00000445920,UniProt_AC
Q96F10,9606.ENSP00000269298,Ensembl_HGNC_uniprot_ids
Q96F10,9606.ENSP00000269298,Ensembl_UniProt
Q96F10,9606.ENSP00000269298,UniProt_AC
Q96F24,9606.ENSP00000277746,Ensembl_HGNC_uniprot_ids
Q96F24,9606.ENSP00000277746,Ensembl_UniProt
Q96F24,9606.ENSP00000277746,UniProt_AC
Q96F46,9606.ENSP00000320936,Ensembl_HGNC_uniprot_ids
Q96F46,9606.ENSP00000320936,Ensembl_UniProt
Q96F46,9606.ENSP00000320936,UniProt_AC
Q96F63,9606.ENSP00000269967,Ensembl_HGNC_uniprot_ids
Q96F63,9606.ENSP00000269967,Ensembl_UniProt
Q96F63,9606.ENSP00000269967,UniProt_AC
Q96F85,9606.ENSP00000263655,Ensembl_HGNC_uniprot_ids
Q96F85,9606.ENSP00000263655,Ensembl_UniProt
Q96F85,9606.ENSP00000263655,UniProt_AC
Q96FA3,9606.ENSP00000351789,Ensembl_HGNC_uniprot_ids
Q96FA3,9606.ENSP00000351789,Ensembl_UniProt
Q96FA3,9606.ENSP00000351789,UniProt_AC
Q96FC7,9606.ENSP00000362987,Ensembl_HGNC_uniprot_ids
Q96FC7,9606.ENSP00000362987,Ensembl_UniProt
Q96FC7,9606.ENSP00000362987,UniProt_AC
Q96FE5,9606.ENSP00000347451,Ensembl_HGNC_uniprot_ids
Q96FE5,9606.ENSP00000347451,Ensembl_UniProt
Q96FE5,9606.ENSP00000347451,UniProt_AC
Q96FE7,9606.ENSP00000215912,Ensembl_HGNC_uniprot_ids
Q96FE7,9606.ENSP00000215912,Ensembl_UniProt
Q96FE7,9606.ENSP00000215912,UniProt_AC
Q96FI4,9606.ENSP00000347170,Ensembl_HGNC_uniprot_ids
Q96FI4,9606.ENSP00000347170,Ensembl_UniProt
Q96FI4,9606.ENSP00000347170,UniProt_AC
Q96FJ0,9606.ENSP00000360992,Ensembl_HGNC_uniprot_ids
Q96FJ0,9606.ENSP00000360992,Ensembl_UniProt
Q96FJ0,9606.ENSP00000360992,UniProt_AC
Q96FJ2,9606.ENSP00000477310,Ensembl_HGNC_uniprot_ids
Q96FJ2,9606.ENSP00000477310,Ensembl_UniProt
Q96FJ2,9606.ENSP00000477310,UniProt_AC
Q96FL9,9606.ENSP00000314500,Ensembl_HGNC_uniprot_ids
Q96FL9,9606.ENSP00000314500,Ensembl_UniProt
Q96FL9,9606.ENSP00000314500,UniProt_AC
Q96FN9,9606.ENSP00000312224,Ensembl_HGNC_uniprot_ids
Q96FN9,9606.ENSP00000312224,Ensembl_UniProt
Q96FN9,9606.ENSP00000312224,UniProt_AC
Q96FQ6,9606.ENSP00000357695,Ensembl_HGNC_uniprot_ids
Q96FQ6,9606.ENSP00000357695,Ensembl_UniProt
Q96FQ6,9606.ENSP00000357695,UniProt_AC
Q96FT7,9606.ENSP00000350786,Ensembl_HGNC_uniprot_ids
Q96FT7,9606.ENSP00000350786,Ensembl_UniProt
Q96FT7,9606.ENSP00000350786,UniProt_AC
Q96FV9,9606.ENSP00000261600,Ensembl_HGNC_uniprot_ids
Q96FV9,9606.ENSP00000261600,Ensembl_UniProt
Q96FV9,9606.ENSP00000261600,UniProt_AC
Q96FZ7,9606.ENSP00000317468,Ensembl_HGNC_uniprot_ids
Q96FZ7,9606.ENSP00000317468,Ensembl_UniProt
Q96FZ7,9606.ENSP00000317468,UniProt_AC
Q96G01,9606.ENSP00000498700,Ensembl_HGNC_uniprot_ids
Q96G01,9606.ENSP00000498700,Ensembl_UniProt
Q96G01,9606.ENSP00000498700,UniProt_AC
Q96G03,9606.ENSP00000371393,Ensembl_HGNC_uniprot_ids
Q96G03,9606.ENSP00000371393,Ensembl_UniProt
Q96G03,9606.ENSP00000371393,UniProt_AC
Q96G04,9606.ENSP00000398502,Ensembl_HGNC_uniprot_ids
Q96G04,9606.ENSP00000398502,Ensembl_UniProt
Q96G04,9606.ENSP00000398502,UniProt_AC
Q96G28,9606.ENSP00000342699,Ensembl_HGNC_uniprot_ids
Q96G28,9606.ENSP00000342699,Ensembl_UniProt
Q96G28,9606.ENSP00000342699,UniProt_AC
Q96G30,9606.ENSP00000257776,Ensembl_HGNC_uniprot_ids
Q96G30,9606.ENSP00000257776,Ensembl_UniProt
Q96G30,9606.ENSP00000257776,UniProt_AC
Q96G61,9606.ENSP00000365160,Ensembl_HGNC_uniprot_ids
Q96G61,9606.ENSP00000365160,Ensembl_UniProt
Q96G61,9606.ENSP00000365160,UniProt_AC
Q96G74,9606.ENSP00000156084,Ensembl_HGNC_uniprot_ids
Q96G74,9606.ENSP00000156084,Ensembl_UniProt
Q96G74,9606.ENSP00000156084,UniProt_AC
Q96GA7,9606.ENSP00000341117,Ensembl_HGNC_uniprot_ids
Q96GA7,9606.ENSP00000341117,Ensembl_UniProt
Q96GA7,9606.ENSP00000341117,UniProt_AC
Q96GD0,9606.ENSP00000215904,Ensembl_HGNC_uniprot_ids
Q96GD0,9606.ENSP00000215904,Ensembl_UniProt
Q96GD0,9606.ENSP00000215904,UniProt_AC
Q96GD3,9606.ENSP00000318094,Ensembl_HGNC_uniprot_ids
Q96GD3,9606.ENSP00000318094,Ensembl_UniProt
Q96GD3,9606.ENSP00000318094,UniProt_AC
Q96GD4,9606.ENSP00000313950,Ensembl_HGNC_uniprot_ids
Q96GD4,9606.ENSP00000313950,Ensembl_UniProt
