,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
CRYZ,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DDX25,0.016385732,2.6590493,-0.016732324,2.4211195,0.006256794,0.6002631,0.008192103,0.50004214
SMURF2,0.008694507,1.9999588,-0.006040935,1.9002984,-0.008815746,0.61574346,-0.0024172405,0.4779426
LANCL1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NMRAL1,0.0144334845,2.784276,-0.012563596,2.5996869,0.007704738,0.60534185,0.0001988865,0.4895391
PC,0.017217863,2.4978347,-0.019221839,2.2666214,0.002806689,0.596402,0.010319524,0.4957387
EIF4G3,0.012490426,2.84503,-0.018773148,2.6576085,0.00834693,0.6079526,-5.1640673e-05,0.49598014
NSF,0.014652219,2.7752335,-0.013757808,2.5829513,0.007596405,0.60630447,0.0005276152,0.49134594
EPB41L1,0.017881112,2.5478363,-0.017796967,2.3063078,0.0033371928,0.59684485,0.012008697,0.49756837
FBL,0.011405023,2.8887472,-0.014704721,2.7302606,0.008760117,0.60887516,-0.0036581715,0.48834556
PPCDC,0.013367316,2.809756,-0.015300311,2.6248307,0.008028578,0.6076658,3.278558e-05,0.49328196
ADSS1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DOCK9,0.01822257,2.804046,-0.021950897,2.4674463,-0.0060000857,0.623428,0.018918984,0.5138241
CHD7,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
GNMT,0.014254261,2.2267582,-0.023079688,2.0298333,-0.0041550472,0.58423376,0.013517535,0.4818709
PAPSS1,0.014053926,2.5883067,-0.0060656485,2.444841,0.003153068,0.6013341,0.0034093796,0.4728008
DCP1A,0.013630627,2.9310122,-0.012728404,2.7456408,0.010430254,0.6113035,-0.0022637297,0.493957
TNFAIP3,0.016392361,2.5090218,-0.02104568,2.2886078,0.0023474202,0.5972425,0.007957102,0.49452442
S100A11,0.023523744,-0.17934623,-0.028583128,-0.45058894,-0.04939888,0.5367755,0.0471967,0.4800874
DHX58,0.022719229,2.5958219,-0.020598352,2.3128853,0.0060263933,0.59923744,0.009966554,0.50726444
TANK,0.011047514,2.266005,-0.009711523,2.3402588,-0.004505883,0.6550772,-0.022152716,0.457957
EVPL,0.024187189,1.8737329,-0.017372046,1.6236129,-0.010073792,0.57691115,0.021904854,0.47706684
MED4,0.013177544,2.9556098,-0.011084875,2.783893,0.010668713,0.6123331,-0.0038913058,0.49079156
IL17B,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
IBSP,0.023107318,1.5009154,-0.030601382,1.1350287,-0.019500185,0.57623565,0.040178407,0.5070361
EDA,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TNFRSF9,0.022387654,1.2683792,-0.022498976,1.0541114,-0.02154304,0.5570293,0.030399373,0.46401912
IL17F,0.020892134,1.6447462,-0.022867743,1.4639888,-0.0141685,0.579461,0.023211904,0.47123918
PIK3C2A,0.015252715,2.4558585,-0.02125645,2.2340248,0.001155291,0.59440607,0.010228862,0.49411786
COPS2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TNFSF4,0.029518835,1.4008722,-0.024329703,1.1177721,-0.016945183,0.55759495,0.035308473,0.4797252
FGF7,-0.02306993,-1.9313613,-0.018804155,-2.1059222,-0.09999707,0.5321648,0.072214074,0.4226299
VEGFA,-0.004738245,2.279813,-0.00042137923,2.3994226,-0.00972724,0.58193195,-0.016178872,0.40404582
TACSTD2,-0.0076941587,0.76988274,-0.0067960867,0.6649561,-0.034662142,0.60368586,0.007204123,0.47435293
TIAM1,0.014426094,2.1912708,-0.017966557,1.9854956,-0.0075832717,0.6066158,0.0105372025,0.4925771
MPDZ,0.026451133,1.3580443,-0.07169242,0.77846557,-0.020597987,0.5519153,0.058930613,0.57197475
RANBP3,0.013013128,2.7594671,-0.010688391,2.6018114,0.0066626817,0.60610735,-0.00102251,0.48330992
CST7,0.022848383,2.5506096,-0.061686303,2.1403952,0.0057593375,0.59256345,0.023033129,0.5567378
KLK5,0.01747768,1.4602114,-0.0027463366,1.3603251,-0.021546885,0.5629392,0.021955866,0.4275805
GZMB,0.017743643,1.9151738,-0.02178182,1.7237921,-0.009246263,0.575631,0.017741367,0.47346187
SFRP1,0.019967875,2.3750272,-0.016875677,2.1375346,0.0004347281,0.59202445,0.011470868,0.49004096
EEA1,0.014278034,2.422869,-0.029309008,2.1790392,-0.0004640543,0.59553653,0.010808471,0.50340474
NCOA2,0.012565973,2.7794297,-0.012761613,2.6217697,0.00703001,0.6061959,-0.0017365331,0.48481792
BDNF,0.032656167,0.09596616,-0.08281686,-0.40316433,-0.04352882,0.48350188,0.08116233,0.5149865
IL1RAP,0.045739926,1.6207243,-0.05723,0.99671763,-0.045598596,0.6011741,0.06844001,0.5538021
IL7,0.025524247,0.65427077,-0.024157643,0.47299993,-0.042266764,0.58383673,0.040881608,0.45775765
EFNA4,0.11708083,-5.585525,-0.024182577,-6.4175787,-0.15849037,0.25381237,0.2030662,0.36842135
FOXC2,0.01761254,1.703193,-0.030914817,1.4302616,-0.012322697,0.56473136,0.029375207,0.49007052
UNC13A,0.07899647,2.1794415,-0.061813522,0.15795195,-0.23371395,0.8783462,0.20008051,0.86842686
IL15RA,0.025328144,-0.015759975,-0.01378203,-0.019206464,-0.04543602,0.55834293,0.04046122,0.41213426
CGA,-0.071850486,-2.4058812,0.06295862,-1.0835598,-0.15155397,0.38417003,-0.020044867,-0.023826957
TNFSF15,0.040589176,1.3434802,-0.03828204,0.8754538,-0.017677773,0.55728877,0.051238224,0.51606685
NCF4,0.019267034,2.3073058,-0.015432071,2.084023,-0.0016690241,0.58889955,0.013533283,0.48410076
TNFSF11,0.03713705,1.7674,-0.040190976,1.2650023,-0.031660855,0.5977059,0.049491894,0.5350653
OSM,0.021931762,1.2481381,-0.02895556,0.96879995,-0.03378476,0.59217286,0.03580443,0.4932054
PGLYRP1,0.018840501,2.1987886,-0.018510131,1.9950004,-0.0037550041,0.5841981,0.011674484,0.47967124
CD5,0.017913608,1.280323,-0.0186926,1.1707059,-0.023581501,0.551554,0.022271747,0.4370078
MAGI2,0.013374772,2.5038836,-0.015813466,2.314232,0.0005455462,0.6007793,0.0074331127,0.4867731
PKP2,0.027072292,1.1510073,-0.028511211,0.8872374,-0.027115721,0.563069,0.030046206,0.4734228
CCL25,0.018234683,1.4133956,-0.028275039,1.216186,-0.021348689,0.55051506,0.033618245,0.46113932
CA4,0.050592434,-0.40566036,-0.07282089,-0.8557268,-0.05336264,0.47391492,0.076599374,0.479838
ITSN1,0.0133577455,2.3080661,-0.023040876,2.0170662,-0.010936297,0.61928976,0.0153045915,0.520893
TPT1,0.012917602,2.7687588,-0.017710991,2.5789163,0.0072253225,0.6057052,0.00076618814,0.4942469
HPX,0.0337137,1.1820823,-0.024421163,0.743815,-0.0371753,0.56415063,0.06555235,0.5007018
SHC2,0.0128613515,0.6235469,-0.02806497,0.4192327,-0.034688458,0.59020734,0.025270758,0.48703834
CST4,0.004722488,1.5288672,-0.03624984,1.2320521,-0.021362323,0.58982414,0.018683309,0.5111792
FCN3,0.055800017,0.017452627,-0.01963688,-0.66822153,-0.06875555,0.5275489,0.12546633,0.5037545
XCL1,0.015480734,1.3413317,-0.03201163,1.2114198,-0.0212605,0.56493324,0.023457158,0.46195766
IL18R1,0.024562703,1.5519594,-0.035273112,1.2927444,-0.016497452,0.5616284,0.03149937,0.47908193
ULBP1,0.031579085,1.5252769,-0.030472327,1.1530182,-0.016678382,0.568313,0.03470514,0.50208765
TLN2,-0.0054783677,-1.1535792,0.024038175,-0.5975134,-0.084680155,0.60155773,0.031159239,0.2477778
SEPHS1,0.003182343,1.7574259,-0.011655346,1.6940281,-0.014263178,0.5840625,0.0074216183,0.4503494
IL13,0.025703512,1.3512099,-0.041402955,1.0610635,-0.01944267,0.55554754,0.034268066,0.4914053
SMPDL3A,0.011801964,-0.33729228,-0.005113481,-0.36404842,-0.06328502,0.47085303,0.05257629,0.35813764
IGFBP6,0.0044065965,1.1149583,-0.034997825,0.8204243,-0.028408058,0.601147,0.03192293,0.52944475
DEF6,0.021535072,2.7305787,-0.027981054,2.2973201,-0.014613752,0.6298888,0.031777952,0.5282295
CBR3,0.014189828,2.8704019,-0.011117876,2.690142,0.009272168,0.60869884,-0.0018794511,0.48988086
FLT3LG,0.029321544,1.4018452,-0.039139055,1.0193107,-0.016903035,0.5537372,0.0433575,0.50582004
HBEGF,0.010985325,-0.2723373,-0.03942256,-0.6391427,-0.055957142,0.564092,0.05049709,0.50682825
KLRK1,0.026215564,1.6096486,-0.02539881,1.3639681,-0.014323999,0.5698974,0.025371997,0.478213
CHST15,0.013281012,2.9905982,-0.011249876,2.8145776,0.011425703,0.6136787,-0.004164108,0.4927566
CARS1,0.013519466,2.9692028,-0.011128524,2.791599,0.011073451,0.6128075,-0.003672253,0.49236974
PSMA4,0.012743748,2.821587,-0.013171457,2.6492743,0.007673051,0.6071241,-0.0005532007,0.48871484
C1QC,0.039758667,-0.13198456,-0.014769655,-0.43085265,-0.048827767,0.4875785,0.06306972,0.42516923
CNTFR,0.029652547,0.9247185,-0.047377322,0.50065005,-0.025275312,0.52626526,0.056615673,0.5066771
GNLY,0.017869247,1.3662056,-0.021355253,1.2107263,-0.020641997,0.56222135,0.02544048,0.45632237
TPSG1,-0.016896723,1.4320884,-0.01653678,1.830519,-0.034359712,0.5427473,-0.030135505,0.32913712
TRIL,0.025271,1.5766044,-0.010807751,1.5270638,-0.012201843,0.61707026,0.005119456,0.45398533
SERPINA4,0.01633981,1.176603,-0.01755364,1.0283227,-0.028223481,0.55043405,0.024632445,0.43835533
RAP1GDS1,0.0089477,2.142423,-0.012355415,1.9553516,-0.011614037,0.62849367,0.0031207195,0.50195193
MTHFS,0.021402147,2.189217,-0.012135269,1.9436285,-0.002116005,0.58655643,0.015616832,0.48418945
TGFB1,0.018407423,0.6920644,-0.02647391,0.4322444,-0.037506968,0.56431025,0.04187846,0.47496775
CCL15,0.026461583,2.2846272,-0.028051946,1.9836473,0.0009420451,0.58471495,0.015473376,0.5068609
SPARC,0.030232958,0.28042656,-0.027324468,-0.12425119,-0.045458596,0.5339066,0.06820237,0.47970298
THBS2,0.014779609,-0.18397,0.009943138,0.080739915,-0.061730612,0.61636466,0.03425018,0.32062495
RELT,0.029292323,1.239658,0.002358045,1.0084218,-0.021526799,0.5527812,0.035103075,0.43935937
PIANP,0.0560868,0.070346296,-0.01707039,-0.43450463,-0.038281567,0.49586284,0.07443094,0.4732917
ADM,0.1518345,-2.6953042,-0.15158314,-4.3498363,-0.07049819,0.36958626,0.19703469,0.7058028
S100A4,0.029345222,0.12239382,-0.041249435,-0.2699473,-0.045337994,0.534068,0.0574611,0.49593526
TNFRSF10D,0.028863959,1.4645836,-0.02591386,1.1068944,-0.017974474,0.5694416,0.03291458,0.49260864
IFNB1,-0.021329314,1.4175789,-0.0019202749,1.3775275,-0.024056923,0.6336988,-0.015371072,0.49637708
IFNA10,-0.12957904,-2.7191067,0.013788465,-2.4113247,-0.13410181,0.558134,0.025280267,0.36654514
IFNA7,-0.07868783,-0.39002684,0.02314806,-0.14861137,-0.07141456,0.6673034,-0.040664192,0.46961474
EFNB2,0.020722233,2.283101,-0.012354743,2.04751,-0.0009675347,0.5866108,0.0148882205,0.4844403
HHLA2,0.029912084,1.9339049,-0.008116426,1.6447661,-0.0056241443,0.5734297,0.026039325,0.48258924
IL1R2,0.06379786,1.4605799,-0.067823075,0.58031344,-0.074413836,0.6389991,0.10021195,0.60626185
AMIGO2,0.030006368,2.290848,-0.009601934,1.9705238,0.002465324,0.58582175,0.01836548,0.5001261
RXFP1,0.015012603,1.8692148,-0.011436071,1.7960789,-0.011109332,0.60023177,0.007119051,0.45547685
NRG4,0.0025735453,-0.5952313,-0.0444546,-0.8992756,-0.061719466,0.5748925,0.04216417,0.5114576
H2BC21,0.01337673,2.860246,-0.0104645025,2.6997504,0.008640178,0.609899,-0.0028890634,0.48605904
H2AW,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
H3C1,0.011001213,2.6312113,-0.011642233,2.5032141,0.0033599627,0.6018282,-0.00074380287,0.4749799
ISG15,-0.012816629,1.4993734,-0.004602766,1.4286785,-0.020870075,0.6299687,-0.012115982,0.4991772
IL36B,0.044175476,2.0219276,-0.047244877,1.387975,-0.044232916,0.6219978,0.062705986,0.5594923
IL36A,0.030056365,1.7015716,-0.03496988,1.3375335,-0.014201739,0.57283014,0.034956407,0.5024429
EFNA3,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
YWHAE,0.0074155284,2.2621932,-0.010255137,2.192341,-0.005405375,0.60674536,-0.0029990461,0.46278822
ANXA5,0.044696942,1.1237243,-0.030639801,0.6424528,-0.0183179,0.537689,0.05458223,0.5096924
SCP2D1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CDKN3,0.0134044085,2.855103,-0.011853537,2.6838267,0.0087580355,0.60838866,-0.0022033958,0.48846698
RFFL,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PDCL2,0.01749391,2.559707,-0.01966548,2.359825,0.0037076036,0.5952758,0.0033833948,0.4889955
PRDM1,0.0209516,2.4477923,-0.021326961,2.1850736,0.0003574798,0.59648347,0.01321428,0.49866524
ANXA7,0.011689728,1.7855353,-0.002111034,1.6954663,-0.014671308,0.56338394,0.013136516,0.43463922
FOXJ2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HEXIM2,0.0126478225,2.7772462,-0.008215465,2.6264575,0.006873318,0.6047431,-0.002309501,0.47951818
RBP7,0.118257806,-1.2720454,-0.20244893,-2.8365762,-0.049314514,0.42670336,0.16783705,0.7608999
DDX46,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
BHMT2,0.029880472,1.4906453,-0.010977475,1.188323,-0.015986688,0.5618118,0.03683331,0.46831468
MYL6B,0.019566528,2.4324787,-0.026095636,2.1841738,0.0009326958,0.594023,0.010909435,0.49946213
MOCS3,0.013133829,2.6778686,-0.012930093,2.5514762,0.004596811,0.6079445,0.0028729648,0.47770798
SNX7,0.05246416,2.387711,-0.06932911,1.4550004,-0.09616613,0.69170177,0.09664845,0.6280837
DOK2,0.014157822,1.4650674,-0.018771928,1.2460253,-0.018890548,0.5523931,0.030609518,0.4653223
MID2,0.01530762,2.7262993,-0.015862357,2.5171757,0.0068420973,0.60234314,0.0039004162,0.49440563
BLMH,0.07220427,-3.9838455,0.03318118,-4.3259287,-0.13501966,0.3253431,0.14087185,0.28546438
PTPN4,0.016654251,2.5286536,-0.022361849,2.2963173,0.0028873514,0.5959956,0.010207257,0.49757987
NET1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SRXN1,0.010284033,1.5659467,-0.008131651,1.5218444,-0.01867539,0.58020675,0.012897187,0.4328169
RAB6B,0.009934156,2.6214354,-0.008458175,2.5209668,0.0035417497,0.6086935,-0.00369181,0.47208315
PREP,0.007037771,-0.071314365,-0.018945944,-0.16059422,-0.052370932,0.52281034,0.057491787,0.41380942
RAB14,0.012510637,2.9508119,-0.012066193,2.7822528,0.010473164,0.6121136,-0.004171691,0.49088094
EIF2AK4,0.014876125,2.883054,-0.014050998,2.6855893,0.009754852,0.60955834,-0.0006598842,0.49560037
NFATC1,0.019495538,2.3948455,-0.019607138,2.1679893,0.000910416,0.59295636,0.010182499,0.49197474
RAB5C,0.022584142,2.736181,-0.023105174,2.378501,-0.017724678,0.6455285,0.019009154,0.53375936
AGAP2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
MBD1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
HNRNPH1,0.010962492,2.8222473,-0.0130097475,2.654184,0.0079547195,0.6105484,-0.00302941,0.49147314
PPIL2,0.018177843,2.637808,-0.01444773,2.4230554,0.004981022,0.5990937,0.0060825264,0.49096024
VPS29,0.017893521,2.4466207,-0.021481631,2.1706953,-0.008826584,0.61054647,0.015378883,0.5068554
SMC3,0.013385583,2.8158836,-0.012294106,2.6442988,0.007989056,0.60722405,-0.0014232437,0.48787373
UBE2E1,0.004478262,2.4219913,-0.0066487533,2.438754,-0.0017018355,0.64788216,-0.021429976,0.4723736
DIDO1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
DYNLT1,0.0145853385,2.5298645,-0.016164532,2.3529108,0.0024370763,0.5969169,0.00380436,0.4833176
RALA,0.0072070714,2.3497188,-0.014703916,2.1839764,-0.0033000736,0.6145671,-0.002041599,0.49831
RCVRN,0.015562067,2.8172915,-0.023582354,2.4376929,-0.01747923,0.6375793,0.022457836,0.53700006
TRAPPC3,0.014845295,2.830305,-0.014458027,2.6289968,0.008816018,0.60772216,0.0008216405,0.49542058
DIPK1C,-0.02883018,1.6210678,0.0022637518,2.1209927,-0.034104005,0.55140203,-0.036863178,0.303417
GDF11,0.036663383,1.2997884,-0.021540191,0.90662825,-0.016264979,0.5585763,0.037825473,0.5003144
FAM210A,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SEMA6C,0.024561811,2.147187,-0.02658074,1.8386493,-0.0025997763,0.59043384,0.0173941,0.50833
STAB1,0.030829556,1.4254463,-0.019461405,1.0797322,-0.02229628,0.5676815,0.045053743,0.48387706
KIAA0040,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
NCMAP,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
KRTAP2-4,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZNF382,0.013883289,2.9043095,-0.011395942,2.7268877,0.0097809415,0.6104491,-0.0021145868,0.49070305
VOPP1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
ZNF526,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
SUMO3,0.0143727325,2.6226718,-0.020719085,2.4169967,0.004685523,0.600677,0.004701387,0.49499705
CTCF,0.017082311,2.8457286,-0.016470585,2.6260414,0.009576071,0.6078802,0.001244159,0.50011307
FBXO3,0.013130826,2.8263986,-0.0127946455,2.6556306,0.008149106,0.60721815,-0.0017722875,0.4881707
DUSP16,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TMEM185A,0.00070165796,2.4656076,-0.014490586,2.473567,-0.0037962012,0.59310573,-0.009489261,0.44325158
LHCGR,-0.00452594,1.0168939,-0.012158951,1.1519866,-0.037859168,0.5678915,0.004459799,0.39173958
RIDA,0.012410115,2.7454696,-0.009781353,2.5949059,0.006156237,0.6044462,-0.0011465505,0.47998095
GSTA4,0.013888923,1.9600965,-0.016408654,1.7962067,-0.00964951,0.5856682,0.013246275,0.4672004
DNAJC17,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
MZF1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
RNF8,0.015013497,2.7884803,-0.012874905,2.604405,0.0075322026,0.6076304,0.0006339736,0.48957816
SKIL,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
PACSIN3,0.06326858,0.94826674,-0.058314826,0.22051913,-0.01886677,0.5337521,0.06905351,0.5680752
EIF4B,0.012197184,2.6842906,-0.015532015,2.5190861,0.0045344033,0.6023559,0.0022795831,0.48443037
CAPN2,0.02025107,2.3511188,-0.029680356,2.061301,0.00096098636,0.5875673,0.016828166,0.50866014
AKT2,0.01551321,2.788797,-0.025327101,2.5514185,0.008181585,0.60487443,0.0046816203,0.5078115
PLIN3,0.061482526,1.7328676,-0.04784167,0.8516023,-0.08036321,0.6479583,0.10321012,0.5927533
PTPN7,0.016070917,2.4495814,-0.013297942,2.2655828,0.0015296745,0.59988785,0.0041947756,0.48632485
SEC13,0.015266856,2.6557205,-0.012630656,2.4682992,0.0052677286,0.6024301,0.0027444367,0.48678973
ZNF276,0.013976861,2.6828032,-0.01929183,2.4637566,0.006219448,0.6027841,0.0048835883,0.49946588
TPSB2,0.006251161,0.6567198,0.009281837,0.6949272,-0.040033337,0.5308106,0.029196747,0.3765378
PROK1,0.012679679,0.59290135,-0.025846053,0.54117787,-0.038748506,0.5179799,0.025062256,0.40729502
C8G,0.029937789,0.9965359,-0.02127757,0.7005266,-0.02933937,0.55165786,0.033788446,0.46684095
CST6,0.07888135,-0.6425991,-0.09063619,-1.5184114,-0.045993865,0.4562906,0.11301543,0.5727442
AZU1,-0.011339366,0.8055455,0.005632266,1.1105607,-0.04619381,0.51863784,-0.002707198,0.31722525
CRLF1,0.027474295,1.5929301,-0.023022745,1.2366166,-0.01169701,0.5572532,0.03747712,0.49819958
ARHGAP5,0.009800606,2.721752,-0.029466342,2.5344286,0.005232826,0.6020711,0.0015044243,0.49976853
LTF,0.02741445,2.1722188,-0.038503386,1.7265472,-0.03089089,0.6107305,0.04444575,0.53460586
ICAM2,0.011179011,-0.5290443,0.00857233,-0.2852227,-0.064259656,0.54844266,0.04730399,0.31284392
FGF8,-0.0120247835,-0.36766264,-0.018590262,-0.54049855,-0.063838415,0.5804482,0.039704114,0.4731503
CDH1,0.06011238,0.84031117,-0.054903973,0.16490456,-0.021577623,0.527002,0.07150918,0.5538533
IGF2,0.004519294,1.0933648,-0.013814572,0.9427789,-0.027708799,0.57946855,0.017339936,0.47196117
S100A3,0.013247438,1.3959237,-0.026106298,1.1685922,-0.018544517,0.5845409,0.021247521,0.49733233
NETO1,0.026967146,1.9323643,-0.024325687,1.6034582,-0.0062136436,0.5783324,0.028139632,0.49927673
MESD,0.015555074,2.708361,-0.017278371,2.5019026,0.006500571,0.6033052,0.0029360666,0.4940766
CCDC134,0.030942488,0.6463749,-0.07481689,0.10980433,-0.030808281,0.5080438,0.07698618,0.53602695
S100A5,0.011811622,2.2486966,-0.05415981,1.9737675,-0.004200943,0.58077574,0.02064288,0.5184531
REG3A,0.051392063,1.0016208,-0.068872355,0.36166415,-0.02360697,0.54226243,0.070655294,0.56013405
JCHAIN,0.020832174,1.8049741,-0.01493286,1.562609,-0.010099404,0.57545197,0.021712705,0.48136812
MAD2L1,0.02142946,2.486879,-0.020925634,2.2250001,0.003211201,0.593604,0.010649966,0.500927
CUTC,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
TXNL4B,0.013152825,2.844171,-0.012982819,2.670431,0.008517843,0.6082693,-0.0015549383,0.48965776
S100A10,0.024639413,1.0812923,-0.03050632,0.7165867,-0.023772575,0.5615364,0.042062126,0.5057238
CCNA1,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
CPLX2,0.0490564,1.0537746,-0.01153915,0.53972507,-0.019016601,0.5516082,0.054607257,0.4962843
CRADD,0.008656927,2.306124,-0.019050838,2.2035584,-0.0038278718,0.5857196,0.0040444136,0.46427715
AGO3,0.013281012,2.9905982,-0.0112498775,2.8145776,0.011425702,0.6136787,-0.004164108,0.4927566
FTL,0.01328101,2.9905982,-0.011249879,2.8145776,0.0114257,0.6136787,-0.004164108,0.4927566
GAP43,0.010702968,0.85545063,-0.037024215,0.5189359,-0.031690788,0.55445254,0.04374222,0.50083786
GBP1,0.01838275,1.5711986,-0.034103196,1.3928406,-0.015891507,0.57367474,0.02202758,0.478092
LAMTOR2,0.018986272,2.3253405,-0.016904358,2.1033177,-0.0008762693,0.5898152,0.014582167,0.4860088
RBBP4,0.01568441,2.6482651,-0.015579425,2.4516017,0.004039177,0.6031241,0.0032529763,0.48927253
SDF2,-0.15144874,-2.104272,0.11294974,0.12902012,-0.1633914,0.847401,-0.13169676,-0.010594726
SELENOM,0.0132835135,2.9795768,-0.011386214,2.8033087,0.011212458,0.61320317,-0.003952123,0.49256533
CFL2,0.017247725,2.8656387,-0.019290509,2.5659952,-0.0010882849,0.62146884,0.013108849,0.50980407
KNG1,0.032372814,0.4339062,-0.026690181,0.013828754,-0.037976075,0.527931,0.068915315,0.48386788
IFNG,0.0031324879,1.2879039,-0.014348898,1.1554115,-0.023146883,0.5937184,0.008380812,0.4811595
SCG5,0.028207047,-1.0771707,-0.057857912,-1.3260462,-0.08361793,0.4577837,0.07264629,0.41486022
APOC1,0.059038226,-0.41592726,-0.06500357,-1.398076,-0.09406419,0.5472728,0.16518836,0.5682907
ADGRB3,0.049932364,1.4728309,-0.05564284,0.9115531,-0.008390042,0.54975754,0.04786028,0.5508921
BMPER,0.02818193,1.87109,-0.0075025675,1.5931439,-0.008496128,0.57438326,0.02482431,0.47506404
BOLA1,0.031170983,0.5252501,-0.07635834,-0.010322005,-0.033554014,0.5026162,0.07915871,0.5328951
GKN1,0.013886491,2.4606683,-0.016594058,2.3337855,2.2722408e-05,0.59283936,-0.0018969749,0.47018072
CPB1,0.009491677,1.3254793,0.0041712746,1.319967,-0.025298592,0.5556741,0.021517282,0.40372184
CTSE,0.02895543,1.9609627,-0.009531518,1.6541564,-0.004544178,0.571433,0.024680454,0.4879169
DDR2,0.03492369,1.7391722,-0.0142294075,1.3601173,-0.009072561,0.570016,0.035775736,0.49395508
EDN3,0.046212047,0.18485919,-0.010749746,-0.19810653,-0.04131991,0.5086718,0.074487075,0.4453456
KL,-0.020514999,-0.24041632,-0.008228781,-0.29226887,-0.05592372,0.5929957,0.011117075,0.46648726
FABP2,0.045397643,-0.03470245,-0.036487423,-0.56341916,-0.06920545,0.5122354,0.100585945,0.46909583
FABP4,0.03802062,-1.2028177,-0.0728938,-1.6137087,-0.07970974,0.4608833,0.097222865,0.45449904
NRP2,0.0151056945,0.2498787,-0.04336078,-0.0965606,-0.046670284,0.55104315,0.053620998,0.5093584
FCGR3A,0.02958376,1.3316987,-0.041597188,0.80411005,-0.03949064,0.57984537,0.0604753,0.53855383
GAL,0.04009878,0.37147734,-0.028240807,0.00032931566,-0.038609367,0.5113689,0.059712317,0.46288177
GAS6,-0.015216001,-1.6439124,-0.029987331,-1.9410343,-0.0897756,0.5021286,0.08141467,0.43466002
UNC5B,0.017480068,1.761758,-0.016539004,1.602068,-0.012157214,0.5870358,0.018242301,0.4700911
GSTM1,0.015801605,1.7251074,-0.023159033,1.528882,-0.014422013,0.5735245,0.020472854,0.4706357
GFER,0.011438039,2.4360127,-0.015085135,2.2675166,0.0005831744,0.5976839,0.0038190647,0.48342386
ID1,0.016681891,2.6417534,-0.016275218,2.429916,0.0054332153,0.6008756,0.0042423597,0.4924987
ID2,0.013660526,2.9091291,-0.012136983,2.7330232,0.009908653,0.61042804,-0.0030462493,0.49092972
IFNA21,-0.07151677,-0.5518811,0.017834647,-0.35857624,-0.07246366,0.65399146,-0.030174691,0.47089788
IFNA4,-0.05515638,-0.11359897,0.012497941,-0.0004311204,-0.0603964,0.6482481,-0.02414813,0.48044246
BIRC7,0.018365704,2.4978912,-0.019021519,2.253514,0.0033492136,0.5929803,0.010770217,0.4973989
