Disease_category_ad,Disease_ad,Protein,Protein_definition_ad,NB_individual_ad,NB_case_ad,HR[95%CI]_ad,P_value_ad,Disease_category_pd,Disease_pd,Protein_definition_pd,NB_individual_pd,NB_case_pd,HR[95%CI]_pd,P_value_pd
Chapter VI Diseases of the nervous system,Alzheimer disease,ITGB6,Integrin beta-6,50550,645,1.04 [0.82-1.31],0.751994111,Chapter VI Diseases of the nervous system,Parkinson's disease,Integrin beta-6,50504,835,0.67 [0.55-0.82],8.93e-05
Chapter VI Diseases of the nervous system,Alzheimer disease,ITGB7,Integrin beta-7,51958,666,1.02 [0.88-1.19],0.754360526,Chapter VI Diseases of the nervous system,Parkinson's disease,Integrin beta-7,51912,855,0.90 [0.79-1.03],0.117767122
Chapter VI Diseases of the nervous system,Alzheimer disease,ITGBL1,Integrin beta-like protein 1,44792,582,1.30 [1.06-1.60],0.010448567,Chapter VI Diseases of the nervous system,Parkinson's disease,Integrin beta-like protein 1,44748,420,0.85 [0.66-1.11],0.231435262
Chapter VI Diseases of the nervous system,Alzheimer disease,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,44858,579,1.34 [0.88-2.03],0.175818833,Chapter VI Diseases of the nervous system,Parkinson's disease,Inter-alpha-trypsin inhibitor heavy chain H1,44814,423,0.67 [0.40-1.10],0.111182042
Chapter VI Diseases of the nervous system,Alzheimer disease,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,51726,664,1.27 [1.05-1.52],0.012179753,Chapter VI Diseases of the nervous system,Parkinson's disease,Inter-alpha-trypsin inhibitor heavy chain H3,51681,860,1.25 [1.06-1.46],0.006873938
Chapter VI Diseases of the nervous system,Alzheimer disease,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,44858,579,0.95 [0.70-1.30],0.752569854,Chapter VI Diseases of the nervous system,Parkinson's disease,Inter-alpha-trypsin inhibitor heavy chain H4,44814,423,0.78 [0.53-1.14],0.19283128
Chapter VI Diseases of the nervous system,Alzheimer disease,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,44579,573,0.91 [0.76-1.10],0.331478187,Chapter VI Diseases of the nervous system,Parkinson's disease,Inter-alpha-trypsin inhibitor heavy chain H5,44535,422,1.00 [0.81-1.23],0.988852586
Chapter VI Diseases of the nervous system,Alzheimer disease,ITM2A,Integral membrane protein 2A,51445,655,1.10 [0.98-1.23],0.113095529,Chapter VI Diseases of the nervous system,Parkinson's disease,Integral membrane protein 2A,51399,849,1.01 [0.91-1.11],0.865317411
Chapter VI Diseases of the nervous system,Alzheimer disease,ITPA,Inosine triphosphate pyrophosphatase,43319,555,1.03 [0.91-1.17],0.596331098,Chapter VI Diseases of the nervous system,Parkinson's disease,Inosine triphosphate pyrophosphatase,43276,405,0.84 [0.73-0.97],0.020330957
Chapter VI Diseases of the nervous system,Alzheimer disease,ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1",43598,560,0.92 [0.81-1.04],0.166808849,Chapter VI Diseases of the nervous system,Parkinson's disease,"Inositol 1,4,5-trisphosphate receptor type 1",43557,401,1.00 [0.87-1.15],0.979923503
Chapter VI Diseases of the nervous system,Alzheimer disease,ITPRIP,"Inositol 1,4,5-trisphosphate receptor-interacting protein",43345,561,0.99 [0.82-1.20],0.939860755,Chapter VI Diseases of the nervous system,Parkinson's disease,"Inositol 1,4,5-trisphosphate receptor-interacting protein",43303,408,1.07 [0.87-1.32],0.512310664
Chapter VI Diseases of the nervous system,Alzheimer disease,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",50313,641,1.07 [0.93-1.22],0.365274504,Chapter VI Diseases of the nervous system,Parkinson's disease,"Isovaleryl-CoA dehydrogenase, mitochondrial",50268,833,1.13 [1.01-1.27],0.03363033
Chapter VI Diseases of the nervous system,Alzheimer disease,IZUMO1,Izumo sperm-egg fusion protein 1,43188,552,1.04 [0.88-1.23],0.620079811,Chapter VI Diseases of the nervous system,Parkinson's disease,Izumo sperm-egg fusion protein 1,43143,402,1.10 [0.91-1.32],0.328882052
Chapter VI Diseases of the nervous system,Alzheimer disease,JAM2,Junctional adhesion molecule B,51972,664,1.20 [0.93-1.54],0.160269943,Chapter VI Diseases of the nervous system,Parkinson's disease,Junctional adhesion molecule B,51926,855,0.80 [0.63-1.00],0.053415764
Chapter VI Diseases of the nervous system,Alzheimer disease,JAM3,Junctional adhesion molecule C,43810,566,0.97 [0.82-1.15],0.748600458,Chapter VI Diseases of the nervous system,Parkinson's disease,Junctional adhesion molecule C,43766,407,0.75 [0.61-0.92],0.005340459
Chapter VI Diseases of the nervous system,Alzheimer disease,JCHAIN,Immunoglobulin J chain,50550,645,1.06 [0.95-1.18],0.318214009,Chapter VI Diseases of the nervous system,Parkinson's disease,Immunoglobulin J chain,50504,835,1.03 [0.93-1.13],0.610755179
Chapter VI Diseases of the nervous system,Alzheimer disease,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,43188,552,1.00 [0.87-1.15],0.961146786,Chapter VI Diseases of the nervous system,Parkinson's disease,Probable JmjC domain-containing histone demethylation protein 2C,43143,402,1.12 [0.97-1.31],0.133862244
Chapter VI Diseases of the nervous system,Alzheimer disease,JPT2,Jupiter microtubule associated homolog 2,44598,575,0.95 [0.86-1.04],0.2428245,Chapter VI Diseases of the nervous system,Parkinson's disease,Jupiter microtubule associated homolog 2,44554,423,0.95 [0.85-1.06],0.333563601
Chapter VI Diseases of the nervous system,Alzheimer disease,JUN,Transcription factor AP-1,50550,645,1.06 [0.93-1.22],0.367006854,Chapter VI Diseases of the nervous system,Parkinson's disease,Transcription factor AP-1,50504,835,1.00 [0.89-1.14],0.952905136
Chapter VI Diseases of the nervous system,Alzheimer disease,KAZALD1,Kazal-type serine protease inhibitor domain-containing protein 1,51282,658,1.17 [1.00-1.37],0.048636434,Chapter VI Diseases of the nervous system,Parkinson's disease,Kazal-type serine protease inhibitor domain-containing protein 1,51237,847,0.98 [0.86-1.12],0.745951446
Chapter VI Diseases of the nervous system,Alzheimer disease,KAZN,Kazrin,44598,575,0.94 [0.87-1.01],0.11288383,Chapter VI Diseases of the nervous system,Parkinson's disease,Kazrin,44554,423,0.92 [0.84-1.01],0.074299843
Chapter VI Diseases of the nervous system,Alzheimer disease,KCNC4,Potassium voltage-gated channel subfamily C member 4,43345,561,1.04 [0.90-1.20],0.588602504,Chapter VI Diseases of the nervous system,Parkinson's disease,Potassium voltage-gated channel subfamily C member 4,43303,408,1.11 [0.95-1.30],0.194300843
Chapter VI Diseases of the nervous system,Alzheimer disease,KCNH2,Potassium voltage-gated channel subfamily H member 2,43561,559,1.04 [0.94-1.15],0.451790111,Chapter VI Diseases of the nervous system,Parkinson's disease,Potassium voltage-gated channel subfamily H member 2,43517,414,1.05 [0.93-1.18],0.421276925
Chapter VI Diseases of the nervous system,Alzheimer disease,KCNIP4,Kv channel-interacting protein 4,50313,641,1.00 [0.87-1.15],0.990170943,Chapter VI Diseases of the nervous system,Parkinson's disease,Kv channel-interacting protein 4,50268,833,1.05 [0.93-1.18],0.423943153
Chapter VI Diseases of the nervous system,Alzheimer disease,KCTD5,BTB/POZ domain-containing protein KCTD5,43839,568,1.00 [0.84-1.20],0.980909557,Chapter VI Diseases of the nervous system,Parkinson's disease,BTB/POZ domain-containing protein KCTD5,43796,412,0.83 [0.66-1.04],0.111005748
Chapter VI Diseases of the nervous system,Alzheimer disease,KDM3A,Lysine-specific demethylase 3A,43494,565,0.94 [0.86-1.04],0.255357075,Chapter VI Diseases of the nervous system,Parkinson's disease,Lysine-specific demethylase 3A,43449,414,1.13 [1.04-1.23],0.006246125
Chapter VI Diseases of the nervous system,Alzheimer disease,KDR,Vascular endothelial growth factor receptor 2,51678,662,0.75 [0.57-0.98],0.036365131,Chapter VI Diseases of the nervous system,Parkinson's disease,Vascular endothelial growth factor receptor 2,51632,850,0.69 [0.54-0.87],0.001817524
Chapter VI Diseases of the nervous system,Alzheimer disease,KEL,Kell blood group glycoprotein,50313,641,1.20 [0.99-1.46],0.064013473,Chapter VI Diseases of the nervous system,Parkinson's disease,Kell blood group glycoprotein,50268,833,1.21 [1.02-1.43],0.028837981
Chapter VI Diseases of the nervous system,Alzheimer disease,KHDC3L,KH domain-containing protein 3,43188,552,0.96 [0.85-1.09],0.550556694,Chapter VI Diseases of the nervous system,Parkinson's disease,KH domain-containing protein 3,43143,402,0.99 [0.85-1.14],0.866667647
Chapter VI Diseases of the nervous system,Alzheimer disease,KHK,Ketohexokinase,43598,560,0.86 [0.76-0.98],0.025825131,Chapter VI Diseases of the nervous system,Parkinson's disease,Ketohexokinase,43557,401,0.83 [0.71-0.97],0.021467418
Chapter VI Diseases of the nervous system,Alzheimer disease,KIAA0319,Dyslexia-associated protein KIAA0319,44681,576,1.06 [0.82-1.36],0.661145736,Chapter VI Diseases of the nervous system,Parkinson's disease,Dyslexia-associated protein KIAA0319,44637,419,0.73 [0.53-1.00],0.052659296
Chapter VI Diseases of the nervous system,Alzheimer disease,KIAA1549,UPF0606 protein KIAA1549,43973,571,0.89 [0.79-0.99],0.039941832,Chapter VI Diseases of the nervous system,Parkinson's disease,UPF0606 protein KIAA1549,43931,414,0.98 [0.85-1.12],0.731859302
Chapter VI Diseases of the nervous system,Alzheimer disease,KIAA1549L,UPF0606 protein KIAA1549L,43973,571,1.04 [0.79-1.37],0.784205921,Chapter VI Diseases of the nervous system,Parkinson's disease,UPF0606 protein KIAA1549L,43931,414,1.05 [0.75-1.46],0.779823044
Chapter VI Diseases of the nervous system,Alzheimer disease,KIAA2013,Uncharacterized protein KIAA2013,44579,573,0.92 [0.78-1.08],0.290101851,Chapter VI Diseases of the nervous system,Parkinson's disease,Uncharacterized protein KIAA2013,44535,422,1.06 [0.90-1.24],0.516818875
Chapter VI Diseases of the nervous system,Alzheimer disease,KIF1C,Kinesin-like protein KIF1C,43319,555,1.07 [0.86-1.33],0.543756164,Chapter VI Diseases of the nervous system,Parkinson's disease,Kinesin-like protein KIF1C,43276,405,1.26 [1.00-1.59],0.049988358
Chapter VI Diseases of the nervous system,Alzheimer disease,KIF20B,Kinesin-like protein KIF20B,43345,561,0.94 [0.85-1.05],0.311373579,Chapter VI Diseases of the nervous system,Parkinson's disease,Kinesin-like protein KIF20B,43303,408,1.07 [0.95-1.21],0.245866698
Chapter VI Diseases of the nervous system,Alzheimer disease,KIF22,Kinesin-like protein KIF22,43319,555,1.04 [0.98-1.12],0.199113531,Chapter VI Diseases of the nervous system,Parkinson's disease,Kinesin-like protein KIF22,43276,405,0.97 [0.90-1.05],0.433274597
Chapter VI Diseases of the nervous system,Alzheimer disease,KIFBP,KIF-binding protein,51282,658,0.99 [0.91-1.07],0.767647223,Chapter VI Diseases of the nervous system,Parkinson's disease,KIF-binding protein,51237,847,0.98 [0.91-1.06],0.646306712
Chapter VI Diseases of the nervous system,Alzheimer disease,KIR2DL2,Killer cell immunoglobulin-like receptor 2DL2,44579,573,1.05 [0.96-1.14],0.32214993,Chapter VI Diseases of the nervous system,Parkinson's disease,Killer cell immunoglobulin-like receptor 2DL2,44535,422,1.10 [0.99-1.22],0.07006058
Chapter VI Diseases of the nervous system,Alzheimer disease,KIR2DL3,Killer cell immunoglobulin-like receptor 2DL3,50307,647,1.05 [0.96-1.14],0.281870475,Chapter VI Diseases of the nervous system,Parkinson's disease,Killer cell immunoglobulin-like receptor 2DL3,50261,834,1.03 [0.96-1.12],0.38559658
Chapter VI Diseases of the nervous system,Alzheimer disease,KIR2DS4,Killer cell immunoglobulin-like receptor 2DS4,44598,575,1.02 [0.97-1.06],0.47569875,Chapter VI Diseases of the nervous system,Parkinson's disease,Killer cell immunoglobulin-like receptor 2DS4,44554,423,1.02 [0.96-1.07],0.567101436
Chapter VI Diseases of the nervous system,Alzheimer disease,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,50307,647,1.00 [0.95-1.06],0.920174431,Chapter VI Diseases of the nervous system,Parkinson's disease,Killer cell immunoglobulin-like receptor 3DL1,50261,834,1.01 [0.97-1.06],0.58361172
Chapter VI Diseases of the nervous system,Alzheimer disease,KIR3DL2,Killer cell immunoglobulin-like receptor 3DL2,43188,552,0.95 [0.86-1.06],0.340800877,Chapter VI Diseases of the nervous system,Parkinson's disease,Killer cell immunoglobulin-like receptor 3DL2,43143,402,1.05 [0.94-1.17],0.376438902
Chapter VI Diseases of the nervous system,Alzheimer disease,KIRREL1,Kin of IRRE-like protein 1,43345,561,0.90 [0.77-1.05],0.174867063,Chapter VI Diseases of the nervous system,Parkinson's disease,Kin of IRRE-like protein 1,43303,408,0.96 [0.81-1.14],0.654100087
Chapter VI Diseases of the nervous system,Alzheimer disease,KIRREL2,Kin of IRRE-like protein 2,50313,641,1.07 [0.90-1.28],0.441492935,Chapter VI Diseases of the nervous system,Parkinson's disease,Kin of IRRE-like protein 2,50268,833,1.03 [0.88-1.20],0.729254285
Chapter VI Diseases of the nervous system,Alzheimer disease,KIT,Mast/stem cell growth factor receptor Kit,51643,662,0.85 [0.68-1.07],0.177071931,Chapter VI Diseases of the nervous system,Parkinson's disease,Mast/stem cell growth factor receptor Kit,51598,857,0.75 [0.62-0.92],0.006258593
Chapter VI Diseases of the nervous system,Alzheimer disease,KITLG,Kit ligand,51520,659,1.20 [0.99-1.45],0.064185556,Chapter VI Diseases of the nervous system,Parkinson's disease,Kit ligand,51476,849,0.86 [0.73-1.01],0.0597038
Chapter VI Diseases of the nervous system,Alzheimer disease,KLB,Beta-klotho,50313,641,1.06 [0.96-1.16],0.256967232,Chapter VI Diseases of the nervous system,Parkinson's disease,Beta-klotho,50268,833,1.01 [0.93-1.10],0.748794943
Chapter VI Diseases of the nervous system,Alzheimer disease,KLF4,Krueppel-like factor 4,43345,561,1.00 [0.82-1.22],0.996583167,Chapter VI Diseases of the nervous system,Parkinson's disease,Krueppel-like factor 4,43303,408,0.84 [0.65-1.07],0.149508519
Chapter VI Diseases of the nervous system,Alzheimer disease,KLHL41,Kelch-like protein 41,44708,575,1.00 [0.84-1.18],0.976784422,Chapter VI Diseases of the nervous system,Parkinson's disease,Kelch-like protein 41,44664,422,1.20 [1.01-1.42],0.042355564
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK1,Kallikrein-1,51018,652,1.05 [1.00-1.11],0.043119547,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-1,50973,836,0.98 [0.94-1.03],0.470466713
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK10,Kallikrein-10,51519,658,0.89 [0.75-1.06],0.190548958,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-10,51473,840,0.82 [0.70-0.96],0.011859839
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK11,Kallikrein-11,51186,659,1.09 [0.88-1.35],0.425331504,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-11,51140,836,0.91 [0.75-1.11],0.346478479
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK12,Kallikrein-12,50307,647,1.02 [0.97-1.07],0.458659058,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-12,50261,834,1.00 [0.95-1.04],0.87612856
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK13,Kallikrein-13,50372,646,1.10 [0.95-1.29],0.196932688,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-13,50327,838,0.92 [0.80-1.05],0.230879579
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK14,Kallikrein-14,51958,666,1.02 [0.88-1.18],0.769080955,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-14,51912,855,1.08 [0.95-1.22],0.260976941
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK15,Kallikrein-15,44499,573,1.12 [0.96-1.31],0.140411945,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-15,44455,421,0.92 [0.77-1.10],0.38325181
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK3,Prostate-specific antigen,44792,582,0.97 [0.89-1.06],0.496296804,Chapter VI Diseases of the nervous system,Parkinson's disease,Prostate-specific antigen,44748,420,0.99 [0.90-1.08],0.754180119
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK4,Kallikrein-4,51958,666,1.17 [1.05-1.30],0.003045978,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-4,51912,855,1.10 [1.01-1.21],0.035822105
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK6,Kallikrein-6,51593,662,0.94 [0.75-1.17],0.553934636,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-6,51547,850,0.92 [0.75-1.11],0.379506327
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK7,Kallikrein-7,42683,553,1.05 [0.85-1.30],0.670552048,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-7,42639,393,0.74 [0.57-0.96],0.023888156
Chapter VI Diseases of the nervous system,Alzheimer disease,KLK8,Kallikrein-8,49791,637,1.10 [0.91-1.33],0.328593922,Chapter VI Diseases of the nervous system,Parkinson's disease,Kallikrein-8,49749,798,0.57 [0.47-0.68],3.37e-10
Chapter VI Diseases of the nervous system,Alzheimer disease,KLKB1,Plasma kallikrein,43949,567,0.55 [0.40-0.76],0.000257294,Chapter VI Diseases of the nervous system,Parkinson's disease,Plasma kallikrein,43906,415,0.52 [0.35-0.75],0.000520758
Chapter VI Diseases of the nervous system,Alzheimer disease,KLRB1,Killer cell lectin-like receptor subfamily B member 1,52083,662,1.13 [0.95-1.35],0.162852242,Chapter VI Diseases of the nervous system,Parkinson's disease,Killer cell lectin-like receptor subfamily B member 1,52037,862,0.88 [0.75-1.03],0.10330695
Chapter VI Diseases of the nervous system,Alzheimer disease,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,43345,561,1.09 [0.96-1.23],0.194018136,Chapter VI Diseases of the nervous system,Parkinson's disease,NKG2-A/NKG2-B type II integral membrane protein,43303,408,1.09 [0.94-1.26],0.246173548
Chapter VI Diseases of the nervous system,Alzheimer disease,KLRD1,Natural killer cells antigen CD94,52083,662,0.97 [0.84-1.12],0.703490354,Chapter VI Diseases of the nervous system,Parkinson's disease,Natural killer cells antigen CD94,52037,862,0.95 [0.84-1.08],0.418193523
Chapter VI Diseases of the nervous system,Alzheimer disease,KLRF1,Killer cell lectin-like receptor subfamily F member 1,43494,565,1.08 [0.91-1.28],0.401823321,Chapter VI Diseases of the nervous system,Parkinson's disease,Killer cell lectin-like receptor subfamily F member 1,43449,414,1.07 [0.88-1.30],0.5127456
Chapter VI Diseases of the nervous system,Alzheimer disease,KLRK1,NKG2-D type II integral membrane protein,44681,576,1.00 [0.84-1.18],0.957782983,Chapter VI Diseases of the nervous system,Parkinson's disease,NKG2-D type II integral membrane protein,44637,419,0.93 [0.76-1.13],0.445456342
Chapter VI Diseases of the nervous system,Alzheimer disease,KRT14,"Keratin, type I cytoskeletal 14",48725,621,1.11 [0.88-1.41],0.380502978,Chapter VI Diseases of the nervous system,Parkinson's disease,"Keratin, type I cytoskeletal 14",48681,798,0.87 [0.69-1.09],0.232371523
Chapter VI Diseases of the nervous system,Alzheimer disease,KRT17,"Keratin, type I cytoskeletal 17",43319,555,1.19 [0.97-1.45],0.100659348,Chapter VI Diseases of the nervous system,Parkinson's disease,"Keratin, type I cytoskeletal 17",43276,405,0.94 [0.73-1.21],0.627443267
Chapter VI Diseases of the nervous system,Alzheimer disease,KRT18,"Keratin, type I cytoskeletal 18",51282,658,1.02 [0.93-1.11],0.698146782,Chapter VI Diseases of the nervous system,Parkinson's disease,"Keratin, type I cytoskeletal 18",51237,847,0.98 [0.91-1.06],0.607264317
Chapter VI Diseases of the nervous system,Alzheimer disease,KRT19,"Keratin, type I cytoskeletal 19",51360,652,1.08 [0.98-1.19],0.138820995,Chapter VI Diseases of the nervous system,Parkinson's disease,"Keratin, type I cytoskeletal 19",51314,849,1.07 [0.98-1.17],0.124081714
Chapter VI Diseases of the nervous system,Alzheimer disease,KRT5,"Keratin, type II cytoskeletal 5",50313,641,0.95 [0.82-1.09],0.444196561,Chapter VI Diseases of the nervous system,Parkinson's disease,"Keratin, type II cytoskeletal 5",50268,833,0.79 [0.69-0.90],0.000270357
Chapter VI Diseases of the nervous system,Alzheimer disease,KRT6C,"Keratin, type II cytoskeletal 6C",43319,555,1.12 [0.91-1.37],0.303328987,Chapter VI Diseases of the nervous system,Parkinson's disease,"Keratin, type II cytoskeletal 6C",43276,405,0.95 [0.73-1.24],0.69505603
Chapter VI Diseases of the nervous system,Alzheimer disease,KRT8,"Keratin, type II cytoskeletal 8",43345,561,1.02 [0.92-1.14],0.687549758,Chapter VI Diseases of the nervous system,Parkinson's disease,"Keratin, type II cytoskeletal 8",43303,408,1.02 [0.90-1.15],0.802143979
Chapter VI Diseases of the nervous system,Alzheimer disease,KYAT1,Kynurenine--oxoglutarate transaminase 1,51435,657,0.90 [0.80-1.02],0.107356929,Chapter VI Diseases of the nervous system,Parkinson's disease,Kynurenine--oxoglutarate transaminase 1,51391,848,0.95 [0.85-1.05],0.308886872
