Disease_category_ad,Disease_ad,Protein,Protein_definition_ad,NB_individual_ad,NB_case_ad,HR[95%CI]_ad,P_value_ad,Disease_category_pd,Disease_pd,Protein_definition_pd,NB_individual_pd,NB_case_pd,HR[95%CI]_pd,P_value_pd
Chapter VI Diseases of the nervous system,Alzheimer disease,A1BG,Alpha-1B-glycoprotein,44858,579,1.05 [0.66-1.68],0.825655885,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-1B-glycoprotein,44814,423,0.80 [0.47-1.38],0.425057991
Chapter VI Diseases of the nervous system,Alzheimer disease,AAMDC,Mth938 domain-containing protein,43598,560,0.99 [0.85-1.16],0.9007808,Chapter VI Diseases of the nervous system,Parkinson's disease,Mth938 domain-containing protein,43557,401,0.83 [0.69-1.00],0.053726769
Chapter VI Diseases of the nervous system,Alzheimer disease,AARSD1,Alanyl-tRNA editing protein Aarsd1,51282,658,0.94 [0.83-1.06],0.291492199,Chapter VI Diseases of the nervous system,Parkinson's disease,Alanyl-tRNA editing protein Aarsd1,51237,847,1.12 [1.01-1.25],0.031938159
Chapter VI Diseases of the nervous system,Alzheimer disease,ABCA2,ATP-binding cassette sub-family A member 2,43319,555,1.05 [0.84-1.32],0.668841717,Chapter VI Diseases of the nervous system,Parkinson's disease,ATP-binding cassette sub-family A member 2,43276,405,0.71 [0.53-0.93],0.01521096
Chapter VI Diseases of the nervous system,Alzheimer disease,ABHD14B,Protein ABHD14B,50959,646,0.94 [0.83-1.06],0.317028584,Chapter VI Diseases of the nervous system,Parkinson's disease,Protein ABHD14B,50912,835,0.99 [0.89-1.11],0.923398016
Chapter VI Diseases of the nervous system,Alzheimer disease,ABL1,Tyrosine-protein kinase ABL1,51282,658,1.01 [0.91-1.12],0.845959672,Chapter VI Diseases of the nervous system,Parkinson's disease,Tyrosine-protein kinase ABL1,51237,847,0.95 [0.87-1.05],0.330141752
Chapter VI Diseases of the nervous system,Alzheimer disease,ABO,Histo-blood group ABO system transferase,44826,575,1.00 [0.94-1.05],0.944064521,Chapter VI Diseases of the nervous system,Parkinson's disease,Histo-blood group ABO system transferase,44783,424,1.03 [0.96-1.09],0.412216442
Chapter VI Diseases of the nervous system,Alzheimer disease,ABRAXAS2,BRISC complex subunit Abraxas 2,43319,555,0.98 [0.87-1.12],0.811404761,Chapter VI Diseases of the nervous system,Parkinson's disease,BRISC complex subunit Abraxas 2,43276,405,0.93 [0.80-1.08],0.318288741
Chapter VI Diseases of the nervous system,Alzheimer disease,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",50307,647,0.97 [0.89-1.06],0.49322762,Chapter VI Diseases of the nervous system,Parkinson's disease,"3-ketoacyl-CoA thiolase, peroxisomal",50261,834,1.00 [0.93-1.08],0.928258961
Chapter VI Diseases of the nervous system,Alzheimer disease,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43973,571,0.99 [0.88-1.11],0.818962965,Chapter VI Diseases of the nervous system,Parkinson's disease,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43931,414,1.05 [0.92-1.19],0.468102102
Chapter VI Diseases of the nervous system,Alzheimer disease,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",44786,575,0.91 [0.83-1.00],0.039810601,Chapter VI Diseases of the nervous system,Parkinson's disease,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",44742,423,0.94 [0.84-1.04],0.22497909
Chapter VI Diseases of the nervous system,Alzheimer disease,ACAN,Aggrecan core protein,51029,651,1.15 [0.90-1.48],0.264840014,Chapter VI Diseases of the nervous system,Parkinson's disease,Aggrecan core protein,50987,828,0.98 [0.79-1.23],0.879149406
Chapter VI Diseases of the nervous system,Alzheimer disease,ACE,Angiotensin-converting enzyme,44826,575,1.33 [0.99-1.79],0.055377466,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiotensin-converting enzyme,44783,424,0.76 [0.54-1.07],0.115211293
Chapter VI Diseases of the nervous system,Alzheimer disease,ACE2,Angiotensin-converting enzyme 2,50576,656,1.13 [1.00-1.29],0.05480068,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiotensin-converting enzyme 2,50532,843,1.07 [0.95-1.20],0.247537846
Chapter VI Diseases of the nervous system,Alzheimer disease,ACHE,Acetylcholinesterase,43810,566,1.26 [0.99-1.60],0.062896108,Chapter VI Diseases of the nervous system,Parkinson's disease,Acetylcholinesterase,43766,407,0.81 [0.60-1.09],0.165932945
Chapter VI Diseases of the nervous system,Alzheimer disease,ACOT13,Acyl-coenzyme A thioesterase 13,44598,575,0.96 [0.89-1.03],0.238356036,Chapter VI Diseases of the nervous system,Parkinson's disease,Acyl-coenzyme A thioesterase 13,44554,423,0.98 [0.91-1.07],0.683126241
Chapter VI Diseases of the nervous system,Alzheimer disease,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,51520,659,0.99 [0.86-1.14],0.90335438,Chapter VI Diseases of the nervous system,Parkinson's disease,Peroxisomal acyl-coenzyme A oxidase 1,51476,849,0.99 [0.88-1.12],0.921421417
Chapter VI Diseases of the nervous system,Alzheimer disease,ACP1,Low molecular weight phosphotyrosine protein phosphatase,43494,565,0.90 [0.75-1.08],0.246059699,Chapter VI Diseases of the nervous system,Parkinson's disease,Low molecular weight phosphotyrosine protein phosphatase,43449,414,1.05 [0.86-1.29],0.646059828
Chapter VI Diseases of the nervous system,Alzheimer disease,ACP5,Tartrate-resistant acid phosphatase type 5,51745,662,1.15 [0.93-1.42],0.185386545,Chapter VI Diseases of the nervous system,Parkinson's disease,Tartrate-resistant acid phosphatase type 5,51701,842,1.02 [0.85-1.23],0.819124166
Chapter VI Diseases of the nervous system,Alzheimer disease,ACP6,Lysophosphatidic acid phosphatase type 6,51881,664,1.01 [0.91-1.12],0.835541377,Chapter VI Diseases of the nervous system,Parkinson's disease,Lysophosphatidic acid phosphatase type 6,51835,854,0.95 [0.87-1.04],0.254047205
Chapter VI Diseases of the nervous system,Alzheimer disease,ACRBP,Acrosin-binding protein,44579,573,0.79 [0.64-0.98],0.033858917,Chapter VI Diseases of the nervous system,Parkinson's disease,Acrosin-binding protein,44535,422,1.08 [0.86-1.35],0.528807643
Chapter VI Diseases of the nervous system,Alzheimer disease,ACRV1,Acrosomal protein SP-10,43494,565,1.09 [0.98-1.20],0.10687589,Chapter VI Diseases of the nervous system,Parkinson's disease,Acrosomal protein SP-10,43449,414,0.96 [0.86-1.07],0.471828782
Chapter VI Diseases of the nervous system,Alzheimer disease,ACSL1,Long-chain-fatty-acid--CoA ligase 1,43319,555,0.95 [0.76-1.19],0.673867421,Chapter VI Diseases of the nervous system,Parkinson's disease,Long-chain-fatty-acid--CoA ligase 1,43276,405,1.09 [0.85-1.39],0.507667757
Chapter VI Diseases of the nervous system,Alzheimer disease,ACTA2,"Actin, aortic smooth muscle",50576,656,1.27 [1.10-1.45],0.000775158,Chapter VI Diseases of the nervous system,Parkinson's disease,"Actin, aortic smooth muscle",50532,843,0.95 [0.83-1.10],0.522642914
Chapter VI Diseases of the nervous system,Alzheimer disease,ACTN2,Alpha-actinin-2,43319,555,1.12 [0.97-1.28],0.110462639,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-actinin-2,43276,405,1.07 [0.91-1.25],0.405027507
Chapter VI Diseases of the nervous system,Alzheimer disease,ACTN4,Alpha-actinin-4,50550,645,0.98 [0.79-1.22],0.879439322,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-actinin-4,50504,835,0.96 [0.79-1.16],0.655525876
Chapter VI Diseases of the nervous system,Alzheimer disease,ACVRL1,Serine/threonine-protein kinase receptor R3,51035,648,1.22 [0.93-1.61],0.143925454,Chapter VI Diseases of the nervous system,Parkinson's disease,Serine/threonine-protein kinase receptor R3,50988,838,0.81 [0.63-1.04],0.095902601
Chapter VI Diseases of the nervous system,Alzheimer disease,ACY1,Aminoacylase-1,51520,659,0.89 [0.79-1.00],0.049986822,Chapter VI Diseases of the nervous system,Parkinson's disease,Aminoacylase-1,51476,849,0.84 [0.75-0.93],0.00079273
Chapter VI Diseases of the nervous system,Alzheimer disease,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,43319,555,0.88 [0.76-1.03],0.115036196,Chapter VI Diseases of the nervous system,Parkinson's disease,N-acyl-aromatic-L-amino acid amidohydrolase,43276,405,0.85 [0.71-1.02],0.074960926
Chapter VI Diseases of the nervous system,Alzheimer disease,ACYP1,Acylphosphatase-1,43646,564,0.94 [0.83-1.07],0.337475142,Chapter VI Diseases of the nervous system,Parkinson's disease,Acylphosphatase-1,43602,405,0.94 [0.81-1.09],0.410371187
Chapter VI Diseases of the nervous system,Alzheimer disease,ADA,Adenosine deaminase,52083,662,0.95 [0.78-1.16],0.627758566,Chapter VI Diseases of the nervous system,Parkinson's disease,Adenosine deaminase,52037,862,0.80 [0.67-0.95],0.011905368
Chapter VI Diseases of the nervous system,Alzheimer disease,ADA2,Adenosine deaminase 2,51221,656,1.27 [1.09-1.49],0.002443448,Chapter VI Diseases of the nervous system,Parkinson's disease,Adenosine deaminase 2,51176,852,1.25 [1.09-1.44],0.001121893
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,43494,565,1.37 [1.09-1.74],0.007571978,Chapter VI Diseases of the nervous system,Parkinson's disease,Disintegrin and metalloproteinase domain-containing protein 12,43449,414,0.83 [0.62-1.13],0.235774763
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,50576,656,1.39 [1.11-1.73],0.004383556,Chapter VI Diseases of the nervous system,Parkinson's disease,Disintegrin and metalloproteinase domain-containing protein 15,50532,843,0.96 [0.79-1.17],0.691695755
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,51120,649,0.98 [0.81-1.19],0.854765706,Chapter VI Diseases of the nervous system,Parkinson's disease,Disintegrin and metalloproteinase domain-containing protein 22,51073,838,0.85 [0.72-1.01],0.060245001
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,52083,662,0.98 [0.81-1.19],0.844086236,Chapter VI Diseases of the nervous system,Parkinson's disease,Disintegrin and metalloproteinase domain-containing protein 23,52037,862,0.86 [0.73-1.01],0.059309533
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,51888,664,1.28 [1.01-1.62],0.042324238,Chapter VI Diseases of the nervous system,Parkinson's disease,Disintegrin and metalloproteinase domain-containing protein 8,51842,854,0.94 [0.77-1.16],0.582567464
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,44598,575,1.49 [1.15-1.93],0.00252834,Chapter VI Diseases of the nervous system,Parkinson's disease,Disintegrin and metalloproteinase domain-containing protein 9,44554,423,0.85 [0.62-1.17],0.322245252
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,43494,565,1.36 [1.08-1.72],0.008316482,Chapter VI Diseases of the nervous system,Parkinson's disease,A disintegrin and metalloproteinase with thrombospondin motifs 1,43449,414,0.96 [0.71-1.31],0.818340301
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,52156,670,1.10 [0.82-1.47],0.526743793,Chapter VI Diseases of the nervous system,Parkinson's disease,A disintegrin and metalloproteinase with thrombospondin motifs 13,52112,860,0.69 [0.54-0.89],0.004199028
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,51282,658,0.97 [0.83-1.14],0.753461067,Chapter VI Diseases of the nervous system,Parkinson's disease,A disintegrin and metalloproteinase with thrombospondin motifs 15,51237,847,0.79 [0.69-0.91],0.000643699
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,50576,656,1.20 [1.00-1.46],0.054724119,Chapter VI Diseases of the nervous system,Parkinson's disease,A disintegrin and metalloproteinase with thrombospondin motifs 16,50532,843,1.12 [0.94-1.32],0.206390725
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,43494,565,1.22 [0.97-1.53],0.084607522,Chapter VI Diseases of the nervous system,Parkinson's disease,A disintegrin and metalloproteinase with thrombospondin motifs 4,43449,414,1.21 [0.93-1.57],0.159660192
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,51678,662,0.72 [0.62-0.84],2.68e-05,Chapter VI Diseases of the nervous system,Parkinson's disease,A disintegrin and metalloproteinase with thrombospondin motifs 8,51632,850,1.05 [0.92-1.20],0.497655367
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTSL2,ADAMTS-like protein 2,44792,582,1.32 [1.04-1.67],0.020646026,Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS-like protein 2,44748,420,0.97 [0.73-1.29],0.826061892
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTSL4,ADAMTS-like protein 4,43598,560,1.55 [1.10-2.20],0.012712427,Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS-like protein 4,43557,401,0.42 [0.28-0.62],1.79e-05
Chapter VI Diseases of the nervous system,Alzheimer disease,ADAMTSL5,ADAMTS-like protein 5,44786,575,1.14 [0.93-1.39],0.220957108,Chapter VI Diseases of the nervous system,Parkinson's disease,ADAMTS-like protein 5,44742,423,0.71 [0.56-0.90],0.00404453
Chapter VI Diseases of the nervous system,Alzheimer disease,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,50307,647,0.94 [0.76-1.17],0.565763937,Chapter VI Diseases of the nervous system,Parkinson's disease,Pituitary adenylate cyclase-activating polypeptide type I receptor,50261,834,0.91 [0.75-1.11],0.343898375
Chapter VI Diseases of the nervous system,Alzheimer disease,ADD1,Alpha-adducin,43810,566,0.92 [0.82-1.03],0.127321521,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-adducin,43766,407,0.95 [0.83-1.08],0.436028763
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRB3,Adhesion G protein-coupled receptor B3,51035,648,1.14 [0.93-1.40],0.210821511,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G protein-coupled receptor B3,50988,838,1.02 [0.85-1.22],0.848904397
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRD1,Adhesion G-protein coupled receptor D1,43810,566,0.89 [0.72-1.11],0.31745333,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G-protein coupled receptor D1,43766,407,0.67 [0.52-0.87],0.002201931
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRE1,Adhesion G protein-coupled receptor E1,44598,575,1.02 [0.88-1.18],0.798024149,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G protein-coupled receptor E1,44554,423,0.91 [0.76-1.08],0.261074712
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRE2,Adhesion G protein-coupled receptor E2,51742,665,1.18 [0.92-1.50],0.188880136,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G protein-coupled receptor E2,51696,854,0.71 [0.57-0.89],0.00226441
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRE5,Adhesion G protein-coupled receptor E5,51904,667,1.30 [1.05-1.62],0.017060641,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G protein-coupled receptor E5,51860,859,0.72 [0.59-0.88],0.001331503
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRF5,Adhesion G protein-coupled receptor F5,44786,575,0.98 [0.74-1.30],0.882182031,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G protein-coupled receptor F5,44742,423,0.98 [0.70-1.37],0.892173832
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRG1,Adhesion G-protein coupled receptor G1,51282,658,1.15 [1.07-1.25],0.000379037,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G-protein coupled receptor G1,51237,847,1.03 [0.96-1.10],0.468785458
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRG2,Adhesion G-protein coupled receptor G2,51520,659,0.90 [0.70-1.16],0.41248382,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G-protein coupled receptor G2,51476,849,0.48 [0.40-0.58],1.27e-14
Chapter VI Diseases of the nervous system,Alzheimer disease,ADGRV1,Adhesion G-protein coupled receptor V1,43345,561,1.00 [0.89-1.12],0.983848951,Chapter VI Diseases of the nervous system,Parkinson's disease,Adhesion G-protein coupled receptor V1,43303,408,0.91 [0.78-1.05],0.18651099
Chapter VI Diseases of the nervous system,Alzheimer disease,ADH1B,All-trans-retinol dehydrogenase,43810,566,0.90 [0.80-1.00],0.058057907,Chapter VI Diseases of the nervous system,Parkinson's disease,All-trans-retinol dehydrogenase,43766,407,0.86 [0.75-0.98],0.024364255
Chapter VI Diseases of the nervous system,Alzheimer disease,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,50576,656,0.90 [0.83-0.98],0.020083765,Chapter VI Diseases of the nervous system,Parkinson's disease,All-trans-retinol dehydrogenase [NAD(+)] ADH4,50532,843,0.89 [0.83-0.96],0.003284268
Chapter VI Diseases of the nervous system,Alzheimer disease,ADIPOQ,Adiponectin,44858,579,1.21 [1.08-1.36],0.001043478,Chapter VI Diseases of the nervous system,Parkinson's disease,Adiponectin,44814,423,1.19 [1.04-1.36],0.012840901
Chapter VI Diseases of the nervous system,Alzheimer disease,ADM,Pro-adrenomedullin,51958,666,1.43 [1.10-1.86],0.007240014,Chapter VI Diseases of the nervous system,Parkinson's disease,Pro-adrenomedullin,51912,855,0.90 [0.71-1.13],0.355673728
Chapter VI Diseases of the nervous system,Alzheimer disease,ADRA2A,Alpha-2A adrenergic receptor,43319,555,0.94 [0.83-1.06],0.317507281,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-2A adrenergic receptor,43276,405,1.12 [0.99-1.26],0.07322356
Chapter VI Diseases of the nervous system,Alzheimer disease,AFAP1,Actin filament-associated protein 1,43810,566,1.01 [0.91-1.11],0.904284374,Chapter VI Diseases of the nervous system,Parkinson's disease,Actin filament-associated protein 1,43766,407,0.97 [0.86-1.09],0.578439963
Chapter VI Diseases of the nervous system,Alzheimer disease,AFM,Afamin,44858,579,0.69 [0.46-1.04],0.074503088,Chapter VI Diseases of the nervous system,Parkinson's disease,Afamin,44814,423,0.54 [0.34-0.85],0.008468022
Chapter VI Diseases of the nervous system,Alzheimer disease,AFP,Alpha-fetoprotein,50952,646,0.90 [0.81-1.00],0.056477392,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-fetoprotein,50905,837,0.92 [0.84-1.01],0.080271591
Chapter VI Diseases of the nervous system,Alzheimer disease,AGBL2,Cytosolic carboxypeptidase 2,43345,561,1.00 [0.91-1.09],0.954849864,Chapter VI Diseases of the nervous system,Parkinson's disease,Cytosolic carboxypeptidase 2,43303,408,0.93 [0.84-1.03],0.158781198
Chapter VI Diseases of the nervous system,Alzheimer disease,AGER,Advanced glycosylation end product-specific receptor,51403,658,0.83 [0.70-0.98],0.029777999,Chapter VI Diseases of the nervous system,Parkinson's disease,Advanced glycosylation end product-specific receptor,51357,848,0.79 [0.68-0.91],0.001508726
Chapter VI Diseases of the nervous system,Alzheimer disease,AGR2,Anterior gradient protein 2 homolog,49902,633,1.10 [1.03-1.18],0.005407253,Chapter VI Diseases of the nervous system,Parkinson's disease,Anterior gradient protein 2 homolog,49858,826,1.04 [0.98-1.11],0.18221538
Chapter VI Diseases of the nervous system,Alzheimer disease,AGR3,Anterior gradient protein 3,50222,647,1.11 [0.99-1.24],0.067072344,Chapter VI Diseases of the nervous system,Parkinson's disease,Anterior gradient protein 3,50176,833,0.88 [0.79-0.98],0.017526127
Chapter VI Diseases of the nervous system,Alzheimer disease,AGRN,Agrin,51742,665,0.94 [0.77-1.15],0.552060176,Chapter VI Diseases of the nervous system,Parkinson's disease,Agrin,51696,854,0.81 [0.68-0.97],0.020720913
Chapter VI Diseases of the nervous system,Alzheimer disease,AGRP,Agouti-related protein,52083,662,1.06 [0.93-1.22],0.358568466,Chapter VI Diseases of the nervous system,Parkinson's disease,Agouti-related protein,52037,862,0.91 [0.81-1.02],0.094483444
Chapter VI Diseases of the nervous system,Alzheimer disease,AGT,Angiotensinogen,44826,575,1.09 [0.76-1.56],0.64162868,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiotensinogen,44783,424,0.80 [0.53-1.19],0.269710201
Chapter VI Diseases of the nervous system,Alzheimer disease,AGXT,Serine--pyruvate aminotransferase,51520,659,0.97 [0.89-1.07],0.57864266,Chapter VI Diseases of the nervous system,Parkinson's disease,Serine--pyruvate aminotransferase,51476,849,1.03 [0.95-1.12],0.454083255
Chapter VI Diseases of the nervous system,Alzheimer disease,AHCY,Adenosylhomocysteinase,51520,659,0.97 [0.87-1.07],0.505867619,Chapter VI Diseases of the nervous system,Parkinson's disease,Adenosylhomocysteinase,51476,849,0.99 [0.90-1.08],0.760018381
Chapter VI Diseases of the nervous system,Alzheimer disease,AHNAK,Neuroblast differentiation-associated protein AHNAK,43598,560,0.64 [0.48-0.84],0.00123221,Chapter VI Diseases of the nervous system,Parkinson's disease,Neuroblast differentiation-associated protein AHNAK,43557,401,0.56 [0.44-0.71],2.14e-06
Chapter VI Diseases of the nervous system,Alzheimer disease,AHNAK2,Protein AHNAK2,43598,560,1.02 [0.78-1.35],0.874201534,Chapter VI Diseases of the nervous system,Parkinson's disease,Protein AHNAK2,43557,401,0.48 [0.34-0.69],7.54e-05
Chapter VI Diseases of the nervous system,Alzheimer disease,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,44579,573,1.02 [0.91-1.15],0.687148105,Chapter VI Diseases of the nervous system,Parkinson's disease,Activator of 90 kDa heat shock protein ATPase homolog 1,44535,422,0.94 [0.81-1.09],0.40440615
Chapter VI Diseases of the nervous system,Alzheimer disease,AHSG,Alpha-2-HS-glycoprotein,44826,575,0.90 [0.67-1.21],0.49430221,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-2-HS-glycoprotein,44783,424,0.59 [0.44-0.80],0.00066346
Chapter VI Diseases of the nervous system,Alzheimer disease,AHSP,Alpha-hemoglobin-stabilizing protein,51448,658,1.01 [0.94-1.10],0.745526943,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-hemoglobin-stabilizing protein,51401,846,1.04 [0.96-1.11],0.322914499
Chapter VI Diseases of the nervous system,Alzheimer disease,AIDA,"Axin interactor, dorsalization-associated protein",43561,559,0.93 [0.84-1.03],0.161969036,Chapter VI Diseases of the nervous system,Parkinson's disease,"Axin interactor, dorsalization-associated protein",43517,414,1.05 [0.95-1.17],0.319661714
Chapter VI Diseases of the nervous system,Alzheimer disease,AIF1,Allograft inflammatory factor 1,50307,647,1.10 [0.96-1.25],0.17762462,Chapter VI Diseases of the nervous system,Parkinson's disease,Allograft inflammatory factor 1,50261,834,0.88 [0.78-0.99],0.031101686
Chapter VI Diseases of the nervous system,Alzheimer disease,AIF1L,Allograft inflammatory factor 1-like,43598,560,1.04 [0.90-1.20],0.627894069,Chapter VI Diseases of the nervous system,Parkinson's disease,Allograft inflammatory factor 1-like,43557,401,1.05 [0.89-1.24],0.580428398
Chapter VI Diseases of the nervous system,Alzheimer disease,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",51198,657,1.00 [0.94-1.07],0.999451463,Chapter VI Diseases of the nervous system,Parkinson's disease,"Apoptosis-inducing factor 1, mitochondrial",51153,846,0.98 [0.92-1.04],0.496769118
Chapter VI Diseases of the nervous system,Alzheimer disease,AK1,Adenylate kinase isoenzyme 1,51520,659,0.99 [0.89-1.10],0.835728988,Chapter VI Diseases of the nervous system,Parkinson's disease,Adenylate kinase isoenzyme 1,51476,849,1.03 [0.94-1.13],0.567911233
Chapter VI Diseases of the nervous system,Alzheimer disease,AK2,"Adenylate kinase 2, mitochondrial",44681,576,0.94 [0.87-1.01],0.103451911,Chapter VI Diseases of the nervous system,Parkinson's disease,"Adenylate kinase 2, mitochondrial",44637,419,1.00 [0.92-1.10],0.917705111
Chapter VI Diseases of the nervous system,Alzheimer disease,AKAP12,A-kinase anchor protein 12,43810,566,1.16 [0.80-1.68],0.430524852,Chapter VI Diseases of the nervous system,Parkinson's disease,A-kinase anchor protein 12,43766,407,0.47 [0.28-0.76],0.002494242
Chapter VI Diseases of the nervous system,Alzheimer disease,AKR1B1,Aldo-keto reductase family 1 member B1,50307,647,1.00 [0.91-1.10],0.987709765,Chapter VI Diseases of the nervous system,Parkinson's disease,Aldo-keto reductase family 1 member B1,50261,834,0.99 [0.91-1.07],0.754511337
Chapter VI Diseases of the nervous system,Alzheimer disease,AKR1B10,Aldo-keto reductase family 1 member B10,43561,559,1.06 [0.93-1.20],0.38807275,Chapter VI Diseases of the nervous system,Parkinson's disease,Aldo-keto reductase family 1 member B10,43517,414,1.00 [0.86-1.17],0.951076155
Chapter VI Diseases of the nervous system,Alzheimer disease,AKR1C4,Aldo-keto reductase family 1 member C4,50576,656,1.01 [0.89-1.15],0.829431036,Chapter VI Diseases of the nervous system,Parkinson's disease,Aldo-keto reductase family 1 member C4,50532,843,1.05 [0.94-1.17],0.368546447
Chapter VI Diseases of the nervous system,Alzheimer disease,AKR7L,Aflatoxin B1 aldehyde reductase member 4,43494,565,0.98 [0.87-1.11],0.741116999,Chapter VI Diseases of the nervous system,Parkinson's disease,Aflatoxin B1 aldehyde reductase member 4,43449,414,1.00 [0.87-1.15],0.956371247
Chapter VI Diseases of the nervous system,Alzheimer disease,AKT1S1,Proline-rich AKT1 substrate 1,50313,641,0.96 [0.86-1.06],0.412317628,Chapter VI Diseases of the nervous system,Parkinson's disease,Proline-rich AKT1 substrate 1,50268,833,1.00 [0.91-1.10],0.992293662
Chapter VI Diseases of the nervous system,Alzheimer disease,AKT2,RAC-beta serine/threonine-protein kinase,44708,575,0.97 [0.91-1.03],0.286952365,Chapter VI Diseases of the nervous system,Parkinson's disease,RAC-beta serine/threonine-protein kinase,44664,422,0.97 [0.90-1.04],0.388529645
Chapter VI Diseases of the nervous system,Alzheimer disease,AKT3,RAC-gamma serine/threonine-protein kinase,50068,645,0.98 [0.87-1.12],0.807300555,Chapter VI Diseases of the nervous system,Parkinson's disease,RAC-gamma serine/threonine-protein kinase,50022,833,0.97 [0.87-1.08],0.568903686
Chapter VI Diseases of the nervous system,Alzheimer disease,ALCAM,CD166 antigen,52156,670,1.57 [1.11-2.22],0.011611788,Chapter VI Diseases of the nervous system,Parkinson's disease,CD166 antigen,52112,860,0.67 [0.49-0.91],0.011179729
Chapter VI Diseases of the nervous system,Alzheimer disease,ALDH1A1,Retinal dehydrogenase 1,51533,659,0.94 [0.83-1.07],0.369590978,Chapter VI Diseases of the nervous system,Parkinson's disease,Retinal dehydrogenase 1,51486,848,1.05 [0.94-1.17],0.398114583
Chapter VI Diseases of the nervous system,Alzheimer disease,ALDH2,"Aldehyde dehydrogenase, mitochondrial",44579,573,0.88 [0.74-1.05],0.15915664,Chapter VI Diseases of the nervous system,Parkinson's disease,"Aldehyde dehydrogenase, mitochondrial",44535,422,1.04 [0.87-1.23],0.68326602
Chapter VI Diseases of the nervous system,Alzheimer disease,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",51360,652,0.99 [0.89-1.10],0.850261957,Chapter VI Diseases of the nervous system,Parkinson's disease,"Aldehyde dehydrogenase, dimeric NADP-preferring",51314,849,0.96 [0.88-1.06],0.430302766
