src,dst,weight,combined_score
0,904,0.9529529529529529,952.0
0,1878,0.8888888888888888,888.0
0,4898,0.8628628628628628,862.0
0,1629,0.8618618618618619,861.0
0,5307,0.8428428428428428,842.0
0,2246,0.8158158158158159,815.0
0,5112,0.7957957957957958,795.0
0,2070,0.7957957957957958,795.0
0,875,0.7927927927927928,792.0
0,4842,0.7857857857857858,785.0
0,4337,0.7657657657657657,765.0
0,720,0.7567567567567568,756.0
0,2349,0.7527527527527528,752.0
0,1351,0.7477477477477478,747.0
0,3081,0.7457457457457457,745.0
1,3312,1.0,999.0
1,2460,1.0,999.0
1,407,0.996996996996997,996.0
1,5268,0.990990990990991,990.0
1,2862,0.97997997997998,979.0
1,2263,0.977977977977978,977.0
1,160,0.973973973973974,973.0
1,4942,0.972972972972973,972.0
1,670,0.9579579579579579,957.0
1,2835,0.9459459459459459,945.0
1,4874,0.9429429429429429,942.0
1,1825,0.9379379379379379,937.0
1,5003,0.914914914914915,914.0
1,265,0.8598598598598599,859.0
1,5328,0.8498498498498499,849.0
1,3547,0.8068068068068068,806.0
1,4813,0.7837837837837838,783.0
1,945,0.7837837837837838,783.0
1,3548,0.7717717717717718,771.0
1,4546,0.7617617617617618,761.0
2,3264,0.8778778778778779,877.0
2,1951,0.8458458458458459,845.0
2,1238,0.8458458458458459,845.0
2,3065,0.7917917917917918,791.0
2,780,0.7547547547547547,754.0
2,868,0.7367367367367368,736.0
3,920,1.0,999.0
3,4874,0.986986986986987,986.0
3,2460,0.986986986986987,986.0
3,1964,0.982982982982983,982.0
3,221,0.970970970970971,970.0
3,2620,0.96996996996997,969.0
3,2773,0.964964964964965,964.0
3,3312,0.964964964964965,964.0
3,3225,0.9579579579579579,957.0
3,3390,0.944944944944945,944.0
3,2866,0.938938938938939,938.0
3,573,0.9369369369369369,936.0
3,5036,0.9359359359359359,935.0
3,788,0.9179179179179179,917.0
3,4070,0.9179179179179179,917.0
3,1888,0.914914914914915,914.0
3,2526,0.8988988988988988,898.0
3,1636,0.8888888888888888,888.0
3,160,0.8678678678678678,867.0
3,1948,0.8548548548548549,854.0
4,4912,0.991991991991992,991.0
4,5198,0.9669669669669669,966.0
4,1235,0.9329329329329329,932.0
4,5195,0.9309309309309309,930.0
4,3872,0.8528528528528528,852.0
4,4088,0.8448448448448449,844.0
4,375,0.8168168168168168,816.0
4,1193,0.8068068068068068,806.0
4,800,0.7727727727727728,772.0
4,846,0.7667667667667668,766.0
4,1110,0.7187187187187187,718.0
4,4188,0.7087087087087087,708.0
4,1339,0.7047047047047047,704.0
5,3184,0.938938938938939,938.0
5,2573,0.9169169169169169,916.0
5,585,0.9029029029029029,902.0
5,1888,0.8308308308308309,830.0
5,2554,0.7997997997997998,799.0
5,2460,0.7837837837837838,783.0
5,3312,0.7837837837837838,783.0
5,670,0.7767767767767768,776.0
5,620,0.7097097097097097,709.0
5,4070,0.7017017017017017,701.0
6,309,1.0,999.0
6,5229,0.9159159159159159,915.0
6,4120,0.9099099099099099,909.0
6,5397,0.7367367367367368,736.0
7,1267,0.988988988988989,988.0
7,1239,0.938938938938939,938.0
7,592,0.9329329329329329,932.0
7,4456,0.9309309309309309,930.0
7,3225,0.9309309309309309,930.0
7,4051,0.9269269269269269,926.0
7,4403,0.9259259259259259,925.0
7,1834,0.913913913913914,913.0
7,2444,0.8918918918918919,891.0
7,5418,0.8818818818818819,881.0
7,3439,0.8748748748748749,874.0
7,4484,0.8498498498498499,849.0
7,4538,0.8318318318318318,831.0
7,4796,0.8278278278278278,827.0
7,711,0.7827827827827828,782.0
7,2813,0.7747747747747747,774.0
7,705,0.7597597597597597,759.0
7,720,0.7467467467467468,746.0
7,3046,0.7347347347347347,734.0
7,5003,0.7297297297297297,729.0
8,2245,0.7237237237237237,723.0
9,2753,0.994994994994995,994.0
9,832,0.993993993993994,993.0
9,4838,0.985985985985986,985.0
9,1056,0.978978978978979,978.0
9,2259,0.9769769769769769,976.0
9,1786,0.96996996996997,969.0
9,2952,0.964964964964965,964.0
9,1425,0.964964964964965,964.0
9,1643,0.9579579579579579,957.0
9,2240,0.9569569569569569,956.0
9,180,0.943943943943944,943.0
9,3567,0.9409409409409409,940.0
9,3503,0.9379379379379379,937.0
9,3536,0.934934934934935,934.0
9,5454,0.9319319319319319,931.0
9,974,0.9309309309309309,930.0
9,5380,0.9309309309309309,930.0
9,4552,0.92992992992993,929.0
9,1457,0.928928928928929,928.0
9,2697,0.9279279279279279,927.0
10,3726,0.8538538538538538,853.0
11,1772,0.992992992992993,992.0
11,5156,0.9719719719719719,971.0
11,1047,0.9719719719719719,971.0
11,1993,0.9719719719719719,971.0
11,1090,0.9619619619619619,961.0
11,1646,0.953953953953954,953.0
11,1869,0.948948948948949,948.0
11,314,0.9429429429429429,942.0
11,4062,0.93993993993994,939.0
11,790,0.9319319319319319,931.0
11,2969,0.9269269269269269,926.0
11,374,0.923923923923924,923.0
11,2864,0.9209209209209209,920.0
11,1543,0.914914914914915,914.0
11,4065,0.8938938938938938,893.0
11,5122,0.8898898898898899,889.0
11,211,0.8788788788788788,878.0
11,3685,0.8708708708708709,870.0
11,323,0.8668668668668669,866.0
11,1438,0.8608608608608609,860.0
12,4379,1.0,999.0
12,4857,1.0,999.0
12,5129,1.0,999.0
12,5223,1.0,999.0
12,4548,0.933933933933934,933.0
12,2365,0.928928928928929,928.0
12,4312,0.9219219219219219,921.0
12,1977,0.8178178178178178,817.0
13,2090,0.8258258258258259,825.0
13,5464,0.8068068068068068,806.0
14,3526,0.9059059059059059,905.0
14,5132,0.7417417417417418,741.0
15,532,0.9209209209209209,920.0
15,1621,0.8448448448448449,844.0
15,409,0.7817817817817818,781.0
15,152,0.7627627627627628,762.0
15,455,0.7327327327327328,732.0
15,934,0.7137137137137137,713.0
16,4436,1.0,999.0
16,125,1.0,999.0
16,3514,0.992992992992993,992.0
16,5134,0.985985985985986,985.0
16,1409,0.985985985985986,985.0
16,1314,0.983983983983984,983.0
16,3247,0.982982982982983,982.0
16,5145,0.9819819819819819,981.0
16,4786,0.9819819819819819,981.0
16,3178,0.9819819819819819,981.0
16,5392,0.9819819819819819,981.0
16,4343,0.9819819819819819,981.0
16,1968,0.9819819819819819,981.0
16,4767,0.980980980980981,980.0
16,5379,0.980980980980981,980.0
16,2703,0.980980980980981,980.0
16,386,0.97997997997998,979.0
16,4846,0.978978978978979,978.0
16,2960,0.977977977977978,977.0
16,4753,0.9769769769769769,976.0
17,2941,0.973973973973974,973.0
17,2516,0.973973973973974,973.0
17,4643,0.96996996996997,969.0
17,5501,0.9569569569569569,956.0
17,5039,0.9469469469469469,946.0
17,1830,0.93993993993994,939.0
17,278,0.938938938938939,938.0
17,3570,0.933933933933934,933.0
17,3193,0.8998998998998999,899.0
17,2892,0.8968968968968969,896.0
17,1948,0.8558558558558559,855.0
17,797,0.8388388388388388,838.0
17,4837,0.7777777777777778,777.0
17,5084,0.7697697697697697,769.0
17,1541,0.7447447447447447,744.0
17,1636,0.7247247247247247,724.0
18,5178,1.0,999.0
18,4293,1.0,999.0
18,1127,1.0,999.0
18,1797,0.998998998998999,998.0
18,2630,0.997997997997998,997.0
18,3204,0.996996996996997,996.0
18,1076,0.995995995995996,995.0
18,1089,0.994994994994995,994.0
18,374,0.991991991991992,991.0
18,2950,0.991991991991992,991.0
18,2964,0.98998998998999,989.0
18,4812,0.985985985985986,985.0
18,3269,0.983983983983984,983.0
18,989,0.982982982982983,982.0
18,3557,0.9819819819819819,981.0
18,2723,0.980980980980981,980.0
18,2387,0.980980980980981,980.0
18,3582,0.97997997997998,979.0
18,4581,0.9769769769769769,976.0
18,344,0.975975975975976,975.0
19,3940,0.9269269269269269,926.0
19,1729,0.8958958958958959,895.0
19,2712,0.8208208208208209,820.0
20,1980,1.0,999.0
20,2832,0.998998998998999,998.0
20,419,0.992992992992993,992.0
20,2877,0.972972972972973,972.0
20,3245,0.9719719719719719,971.0
20,935,0.9679679679679679,967.0
20,4716,0.9629629629629629,962.0
20,1862,0.9469469469469469,946.0
20,2795,0.943943943943944,943.0
20,1721,0.9129129129129129,912.0
20,5358,0.908908908908909,908.0
20,4188,0.9079079079079079,907.0
20,4175,0.9009009009009009,900.0
20,3012,0.8698698698698699,869.0
20,4245,0.8588588588588588,858.0
20,1121,0.8388388388388388,838.0
20,3457,0.8178178178178178,817.0
20,2377,0.8038038038038038,803.0
20,1731,0.7827827827827828,782.0
20,1894,0.7817817817817818,781.0
21,26,0.97997997997998,979.0
21,3940,0.918918918918919,918.0
21,3712,0.7967967967967968,796.0
21,1109,0.7727727727727728,772.0
21,97,0.7017017017017017,701.0
22,4252,0.8408408408408409,840.0
23,4188,0.974974974974975,974.0
23,859,0.92992992992993,929.0
23,1193,0.9159159159159159,915.0
23,542,0.9109109109109109,910.0
23,1188,0.8918918918918919,891.0
23,4953,0.8858858858858859,885.0
23,751,0.8538538538538538,853.0
23,2595,0.8498498498498499,849.0
23,4101,0.8478478478478478,847.0
23,2172,0.8438438438438438,843.0
23,4797,0.8288288288288288,828.0
23,2259,0.8168168168168168,816.0
23,894,0.8128128128128128,812.0
23,5380,0.8018018018018018,801.0
23,2728,0.8008008008008008,800.0
23,3606,0.7917917917917918,791.0
