protein1,protein2
P42830,P05231
P42830,O00585
P02775,P02778
P02775,O14625
P02775,P48061
P02775,O00585
P02775,P13501
P02775,Q99616
P02775,Q07325
P02775,P80162
P02775,P80075
P02775,Q9NRJ3
P02775,O95715
P02775,Q9Y258
P02775,P02776
P02775,P16109
P02775,P09341
P02775,O43927
P02775,P42830
P02775,Q99731
P02775,P78556
P02775,P19875
P02776,P48061
P02776,P10145
P02776,P13501
P02776,O14625
P02776,P02778
P02776,Q07325
P02776,O00585
P02776,P78556
P02776,P13500
P02776,P51671
P02776,Q99616
P02776,O15444
P02776,Q9NRJ3
P02776,Q92583
P02776,P47992
P02776,P80162
P02776,O95715
P02776,P19875
P02776,Q9Y258
P02776,Q6UXB2
Q9BYV2,Q8WZ42
Q9BYV2,Q14596
Q9BYV2,O15273
O75394,Q9BYC8
O75394,Q7Z2W9
O75394,P52815
O75394,P23396
O75394,P62913
O75394,Q5T653
O75394,P46777
O75394,O60783
O75394,Q9BQ48
O75394,Q14197
O75394,Q9BYD6
O75394,Q96E11
O75394,Q7Z7H8
O75394,Q8TAE8
O75394,P60866
O75394,Q9UKD2
O75394,Q15648
O75394,Q8N5N7
O75394,P62263
O75394,P49771
P49221,P15309
P49221,P20151
P49221,P08118
P49221,P03952
P49221,P07288
Q9H5V8,P12931
Q9H5V8,Q05655
Q9H5V8,P00533
Q9H5V8,P30203
Q9H5V8,P29317
P05452,P00747
P05452,P01375
P05452,P06733
P13385,P36896
P13385,Q13705
P13385,Q96S42
P13385,Q9NR23
P13385,P27037
P13385,O00292
P13385,P11021
P13385,Q9H9S0
P13385,P01133
P13385,Q15796
P13385,P48431
P13385,P35052
Q8TDB6,P42224
Q8TDB6,Q04721
Q8TDB6,P51668
Q8TDB6,Q86Y01
Q8TDB6,P20591
Q8TDB6,P46531
Q8TDB6,Q9UM47
P18084,P04004
P18084,P02751
P18084,P08648
P18084,P17301
P18084,Q9UKX5
P18084,Q05397
P18084,P10451
P18084,P05556
P18084,P05107
P18084,P12931
P18084,P20701
P18084,P18564
P18084,P26010
P18084,Q08431
P18084,P21815
P18084,O96013
P18084,P23229
P18084,P18206
P18084,P12109
P18084,P12110
Q8TAD8,Q15427
Q8TAD8,P55081
Q8TAD8,P09661
Q8TAD8,P62316
Q8TAD8,P62306
Q8TAD8,P62318
Q8TAD8,Q9Y4Z0
Q8TAD8,P62304
Q8TAD8,P62308
Q8TAD8,P08579
Q8TAD8,P62310
Q8TAD8,Q9NW64
Q8TAD8,Q13123
Q8TAD8,Q9UMS4
Q8TAD8,O94906
Q8TAD8,P55769
Q8TAD8,P83876
Q8TAD8,Q9Y3B4
Q8TAD8,P41223
Q8TAD8,Q09161
O14645,Q9UI46
Q9BXB4,Q96SU4
Q9BXB4,O95292
Q9BXB4,Q9P0L0
Q96S95,Q13554
Q96S95,Q9UQM7
P04843,P39656
P04843,P04844
P04843,Q14165
P04843,P60059
P04843,P60468
P04843,P43307
P04843,P43308
P04843,P27824
P04843,P11021
P04843,P55735
P04843,Q15084
P04843,P27797
Q9HC62,P61956
Q9HC62,P46060
Q9HC62,P55854
Q9HC62,O14641
Q9HC62,P20700
Q9HC62,Q03252
Q9HC62,Q14974
Q9HC62,Q6EEV6
P48740,O00602
P48740,Q15485
P48740,O75636
P48740,P11226
P48740,P05155
P48740,Q9BWP8
P48740,Q9Y6Z7
P48740,P01024
P48740,P09871
P48740,P43629
P48740,P17927
P48740,P08603
P48740,P00736
P48740,P00749
P48740,P27918
Q8NFM7,Q8NAC3
Q8NFM7,Q96F46
Q8NFM7,Q9NRM6
Q8NFM7,Q8NFR9
Q8NFM7,Q9UHF5
Q8NFM7,Q9P0M4
Q8NFM7,Q96PD4
Q8NFM7,Q8TAD2
Q8NFM7,Q9H293
Q8NFM7,Q12974
Q8NFM7,Q93096
Q8NFM7,P11362
Q8NFM7,Q16552
P25815,Q15109
P53582,P50579
P53582,P46777
P53582,P23396
P53582,P62913
P53582,Q15648
P53582,O00541
P53582,Q9UKD2
P53582,Q9UNX3
P53582,Q5T653
P53582,P05198
P53582,P46782
P11766,P10768
P11766,P05091
P11766,P21964
P11766,P00352
P11766,P30837
P11766,P30838
P11766,P49419
P11766,P43353
P11766,P47895
P11766,O94788
P11766,O60760
P11766,P78417
P11766,P09488
P11766,P09211
P11766,O15217
P11766,P21266
P11766,P08263
P11766,P46439
P11766,Q16772
P0C0S5,Q16778
P0C0S5,Q92993
P0C0S5,Q9Y265
P0C0S5,O95619
P0C0S5,P20226
P0C0S5,P68431
P0C0S5,P19387
P0C0S5,P36954
P0C0S5,Q9UBU8
P0C0S5,Q9UEE9
P0C0S5,P52435
P0C0S5,Q92769
P0C0S5,P53803
P0C0S5,P61218
P0C0S5,Q8N257
P0C0S5,P19388
P0C0S5,Q00403
P0C0S5,P49711
Q9BUT1,P55809
Q9BUT1,P35914
Q9BUT1,Q86V21
Q9BUT1,P09110
P49913,P08246
P49913,P24158
P49913,P05164
P49913,P08311
P49913,P02788
P49913,P04406
P49913,P19838
P49913,O15263
P49913,P05412
P49913,P17213
P49913,P09429
P49913,P81534
P49913,P60022
P49913,P31997
P49913,O00206
P49913,P80188
P49913,O75594
P49913,P08069
P49913,P14780
P49913,P10145
Q04912,P26927
Q04912,P14210
Q04912,P22681
Q04912,P00533
Q04912,P35222
Q04912,P62993
Q04912,P04626
Q04912,Q12794
P26583,P09429
P26583,P19338
P26583,P39687
P26583,P12544
P26583,Q01105
O75446,Q92769
O75446,O00422
O75446,Q9H7L9
O75446,Q09028
O75446,Q5PSV4
O75446,Q9UK53
O75446,Q9HAJ7
O75446,P25490
O75446,Q9UBU8
O75446,Q9BY41
O75446,Q12913
O75446,O60341
O75446,O15294
O75446,O00458
Q13257,O43683
Q13257,Q9Y6D9
Q13257,Q9UM13
Q13257,Q15013
Q13257,P14635
Q13257,P20248
Q13257,O15392
Q13257,Q9UJX3
Q13257,Q9UI95
Q13257,O14777
Q13257,O95067
Q13257,Q96KB5
Q13257,P35249
Q13257,P53350
Q13257,Q96GD4
Q13257,O14965
Q13257,O00762
Q13257,O14757
Q13257,O15182
Q13257,P52948
P08758,P04406
P08758,P42574
P08758,P10415
P08758,P06307
P08758,A1KZ92
P08758,Q92626
P08758,P09874
P08758,P13726
P08758,P00441
P08758,Q14790
P08758,P99999
P08758,P07355
P08758,P60903
P08758,P31749
P08758,P08962
P08758,P04637
P08758,Q14956
P08758,P01730
P08758,P11215
P08758,Q07817
P15428,P28845
P40933,P14784
P40933,Q13261
P40933,P31785
P40933,P01589
P40933,P16871
P40933,P15248
P40933,P13232
P40933,P60568
P40933,Q9HBE5
P40933,P01579
P40933,P01732
P40933,P08637
P40933,O75015
P40933,P26718
P40933,P01730
P40933,Q16552
P40933,P05112
P40933,P22301
P40933,P08887
P40933,P78552
P53367,P62330
P53367,P61204
P53367,P84077
P53367,P84085
P53367,P31749
P53367,P53365
Q96QV1,O43323
Q96QV1,Q15465
Q96QV1,Q14623
Q96QV1,P54826
P17301,P05556
P17301,P02751
P17301,P02452
P17301,P18084
P17301,Q9HCN6
P17301,P02461
P17301,P05107
P17301,P18564
P17301,P08648
P17301,Q9UKX5
P17301,P26010
P17301,Q05397
P17301,P98160
P17301,O15335
P17301,P20701
P17301,P27986
P17301,P29350
P17301,P17612
P17301,Q13753
P17301,P23229
O43854,P10915
Q8N183,O43181
Q8N183,P19404
Q8N183,O43678
Q8N183,O95169
Q8N183,Q16718
Q8N183,Q9BU61
Q8N183,Q9Y375
Q8N183,O96000
Q8N183,Q5TEU4
Q8N183,O95139
Q8N183,Q9NX14
Q8N183,O95168
Q8N183,Q96CU9
Q96DG6,Q16836
Q96DG6,Q9Y2S2
O43181,P19404
O43181,O95169
O43181,Q9NX14
O43181,Q16718
O43181,P14927
O43181,O95139
O43181,O95168
O43181,O96000
O43181,O43678
O43181,Q8N183
O43181,O14548
O43181,P20674
O43181,Q9Y375
O43181,P10606
O43181,P48047
O43181,Q9BU61
O43181,Q02221
O43181,Q96CU9
O43181,Q10713
O43181,Q9UII2
P00995,P07477
P00995,P07478
P00995,Q99895
P00995,P35030
P00995,P20155
P00995,P13569
P00995,Q6GPI1
P00995,P17538
P00995,P98073
P00995,P07858
P00995,P15085
P00995,P00533
Q6UWR7,Q8N9F7
Q6UWR7,Q5R387
Q9NZ08,P80303
Q9NZ08,P10321
Q9NZ08,P29144
Q9NZ08,O15533
Q9NZ08,Q5VWK5
Q9NZ08,P58335
Q9NZ08,P01375
Q16568,O75521
Q16568,Q6YN16
Q16568,P01303
Q16568,O00253
Q16568,P54868
Q16568,Q01581
Q16568,Q16836
Q16568,P01189
Q16568,Q9Y2S2
Q16568,Q15726
Q16568,P41159
Q16568,P48357
Q16568,P20396
Q16568,Q9UBU3
Q9H9E1,P98164
Q9H9E1,P56524
Q9H9E1,P48382
Q8WVY7,O00231
Q8WVY7,Q15008
Q8WVY7,P55036
Q8WVY7,P51665
Q8WVY7,Q16186
Q8WVY7,P62195
Q8WVY7,Q9GZU7
Q8WVY7,P17980
Q8WVY7,P49721
Q8WVY7,P09919
Q8WVY7,P25789
O15455,Q9H1C4
O15455,Q13546
O15455,P01574
O15455,Q9UHD2
O15455,P58753
O15455,Q14653
O15455,Q9BYX4
O15455,O95786
O15455,P49841
O15455,P09429
O15455,Q14790
O15455,O00206
O15455,Q9NWZ3
O15455,P01562
O15455,P05231
O15455,Q86XR7
O15455,P01579
O15455,P01375
O15455,P01584
O15455,P19838
Q969F2,O14641
Q969F2,P62258
O75509,P05067
O75509,Q15628
O75509,O14763
O75509,O00220
O75509,Q06481
O75509,P48023
O75509,Q93038
O75509,P50591
O75509,O95150
O75509,P08138
O75509,P19438
O75509,P01375
P08700,P32927
P08700,P05113
P08700,P26951
P08700,P05231
P08700,P04141
P08700,P60568
P08700,P21583
P08700,P01583
P08700,P13232
P08700,Q01344
P08700,P01579
P08700,P05112
P08700,O60674
P08700,P01584
P08700,P40225
P08700,P49771
P08700,P09919
P08700,P01588
P08700,P15248
P08700,P10721
P04141,P09919
P04141,P15509
P04141,P32927
P04141,P01584
P04141,P08700
P04141,P60568
P04141,P01583
P04141,P51671
P04141,P05113
P04141,P01579
P04141,Q01344
P04141,P07333
P04141,P05231
P04141,Q99062
P04141,P10145
P04141,P01375
P04141,P09038
P04141,P09603
P04141,P05112
P04141,P22301
Q969E1,P81172
P06748,P19338
P06748,P04637
P06748,Q9UM73
P06748,Q9UKV8
P06748,P46777
P06748,P49711
P06748,Q00987
P06748,P09874
P06748,Q09028
P06748,P36888
P06748,P09651
P06748,P22087
P06748,P62993
P06748,P01106
P06748,P31939
P06748,P10809
P06748,P27695
P06748,Q9Y265
P06748,Q9UQ80
P06748,Q16548
Q969J5,Q9GZX6
Q969J5,Q08334
Q969J5,Q8IZI9
Q969J5,Q8IU54
Q969J5,Q9UHD0
Q969J5,Q8IZJ0
Q969J5,Q13007
Q969J5,Q8N6P7
Q969J5,P22301
Q969J5,P01579
Q969J5,Q6UW15
Q969J5,P29597
Q969J5,P05231
Q969J5,Q8TAD2
Q969J5,P13232
Q969J5,P29460
Q969J5,P15248
Q969J5,P05112
Q969J5,P35225
Q969J5,P05113
Q96QV6,Q16778
Q96QV6,P68431
Q96QV6,Q92769
Q96QV6,P62979
Q9Y6U3,P14317
Q9Y6U3,O00401
Q9Y6U3,Q9Y4G6
Q9Y6U3,P48426
Q9Y6U3,P06396
Q9Y6U3,P78356
Q9Y6U3,Q8NHR9
Q9Y6U3,P07737
Q9Y6U3,P18206
Q9Y6U3,P02774
Q9Y6U3,P23528
Q9Y6U3,P50552
Q9Y6U3,P42768
Q9Y6U3,Q9Y281
Q9Y6U3,P28289
Q9Y6U3,Q9NZR1
Q9Y6U3,P21333
Q9Y6U3,P02647
Q9Y6U3,Q9NYL9
Q9Y6U3,Q9NZQ9
O43739,P62330
O43739,P84077
O43739,O60759
O43739,P08567
O43739,Q15438
O43739,P48736
Q86SR1,Q02742
Q86SR1,Q6ZMB0
Q86SR1,Q9NSC7
Q86SR1,Q96EU7
Q9HAJ7,O75446
Q9HAJ7,Q92769
Q9HAJ7,Q9H7L9
Q9HAJ7,O00422
Q9HAJ7,Q5PSV4
Q9HAJ7,Q9UK53
Q9HAJ7,Q09028
Q1RMZ1,Q8WTX7
Q1RMZ1,Q9HB90
P49069,O43681
P49069,O14836
P49069,P23284
P49069,P11441
P49069,O43765
P49069,Q9Y275
P49069,Q96RJ3
P49069,P00533
P49069,Q9P0L0
P49069,Q10589
Q8TA86,P20839
Q8TA86,Q8IXQ5
Q8TA86,Q9UMX6
Q8TA86,Q5T1H1
Q8TA86,O94906
Q8TA86,P54845
Q8TA86,Q96NR8
Q8TA86,P22748
Q8NC24,O95747
P38646,Q9HAV7
P38646,P10809
P38646,P04637
P38646,Q96DA6
P38646,Q99497
P38646,Q8IWL3
P38646,Q9H1K1
P38646,P61604
P38646,P14625
P38646,O14925
P38646,P07900
P38646,P08238
P38646,Q16595
P38646,P25685
P38646,Q9NVH1
P38646,P11142
P38646,Q8IWA4
P38646,P30405
P38646,Q9Y5T4
P38646,P10606
Q01469,P00505
Q01469,P31151
Q01469,P37231
Q01469,P16671
Q01469,P15090
Q01469,Q8WTV0
Q01469,Q14108
Q01469,Q9UM47
Q01469,Q07869
Q15465,P54826
Q15465,Q96QV1
Q15465,Q4KMG0
Q15465,Q9BWV1
Q15465,P98164
Q15465,P51654
Q15465,P55075
Q15465,Q14623
Q15465,O43323
Q15465,Q9UMX1
Q15465,Q13253
Q15465,P08620
Q15465,O15520
Q15465,P12644
Q15465,P31371
Q15465,P35222
Q15465,O60258
Q15465,P11487
Q15465,P12643
Q15465,Q9NP95
P15259,P18669
P15259,P13929
P15259,P00558
P15259,P07205
P15259,Q8N0Y7
P15259,P06733
P15259,P09104
P15259,P07738
P15259,P06744
P15259,P60174
P15259,P04075
P15259,P09972
P15259,P14618
P15259,O43175
P15259,P05062
P15259,Q9UNW1
P15259,O95479
P15259,P37837
P15259,P11413
P15259,P29401
Q8TAQ9,Q8WXH0
Q8TAQ9,Q8TC36
O00300,O14788
O00300,P50591
O00300,P13686
O00300,Q9Y6Q6
O00300,P02452
P60022,O15263
P60022,P81534
P60022,O60885
P60022,Q8WTQ1
P60022,P59665
P60022,Q58F21
P60022,Q01523
P60022,P59666
P60022,Q8N104
P60022,P49913
P60022,P25440
P60022,Q8IZN7
P60022,P31151
P60022,Q8NET1
P60022,Q96PH6
P60022,Q9H1M4
P60022,Q8N690
P60022,Q7Z7B7
P29474,P07900
P29474,P08238
P29474,P31749
P29474,Q9Y314
P29474,P04424
P29474,P78540
P29474,P56539
P29474,P05089
P29474,Q14012
P29474,Q9UQM7
P29474,Q16566
P29474,P31751
P29474,P00480
P29474,P50440
P29474,Q9Y243
P29474,P19174
P29474,O15294
P29474,P16885
P29474,Q8IU85
P29474,P63096
Q8IY33,P51153
Q8IY33,O43707
Q8IY33,Q92930
Q8IY33,P12814
Q8IY33,Q14511
Q8N5L8,P78346
Q8N5L8,O75817
Q8N5L8,O75818
Q8N5L8,Q9BUL9
Q8N5L8,Q92974
P00352,Q96NR8
P00352,Q8IZV5
P00352,Q9BTZ2
P00352,P07327
P00352,O75911
P00352,P00325
P00352,P08319
P00352,Q9BPW9
P00352,P08684
P00352,P40394
P00352,O75452
P00352,P00326
P00352,P28332
P00352,O94788
P00352,P47895
P00352,P11766
P00352,O43490
P00352,P16070
P00352,P34913
P00352,Q9H9S0
Q8WWF3,Q9HBV2
Q9UKY1,P23511
O43915,P17948
O43915,P35916
O43915,P35968
O43915,P49765
O43915,P49767
O43915,Q9Y5Y7
O43915,O60462
O43915,P11362
O43915,P04629
O43915,Q02763
O43915,P00533
O43915,P16234
O43915,O14786
O43915,P08069
O43915,P36888
O43915,P07333
O43915,Q15303
O43915,P09619
O43915,P49763
O43915,P10721
Q5W041,Q9HAE3
Q96NI6,P23468
Q96NI6,Q13332
Q96NI6,P78352
Q9Y281,P53667
Q9Y281,O00401
Q9Y281,P14317
Q9Y281,P23528
Q9Y281,P07737
Q9Y281,Q8NHR9
Q9Y281,P60953
Q9Y281,P60981
Q9Y281,P61586
Q9Y281,P12814
Q9Y281,Q96GD0
Q9Y281,P21333
Q9Y281,P42768
Q9Y281,P50552
Q9Y281,P06396
Q9Y281,Q9Y6U3
Q9Y281,Q12792
Q9Y281,P18206
Q9Y281,P16333
Q9Y281,P08134
P14207,Q9Y279
P14207,Q04609
P14207,Q15365
Q9Y2S2,P09110
Q9Y2S2,P14550
Q9Y2S2,Q6YN16
Q9Y2S2,Q9BWD1
Q9Y2S2,P22307
Q9Y2S2,P24752
Q9Y2S2,Q16568
Q9Y2S2,O14734
Q9Y2S2,O75521
Q9Y2S2,Q5VWX1
Q9Y2S2,Q96DG6
Q9NTK1,Q9UBG3
P62330,O43739
P62330,Q99418
P62330,Q15438
P62330,Q8TDY4
P62330,O75154
P62330,Q9NZ52
P62330,Q9UIA0
P62330,Q02241
P62330,O43150
P62330,Q9ULP9
P62330,P53365
P62330,P84077
P62330,P53367
P62330,Q15057
P62330,P62491
P62330,Q8N6T3
P62330,Q9Y6K9
P62330,Q00610
P62330,A5PKW4
P62330,Q9UPT5
Q9C026,P43146
Q9C026,P60880
Q9C026,Q6PIZ9
Q9C026,P50552
Q9C026,P60604
Q15018,P34897
Q15018,P04637
P30048,P30044
P30048,P10599
P30048,Q16881
P30048,P04179
P30048,P99999
P30048,Q9BYN0
P30048,O00244
P30048,P18669
P30048,Q99497
P30048,Q5S007
P30048,Q9NS18
Q9P126,P43405
Q9P126,Q9HCN6
Q9P126,P04275
Q9P126,Q9NZS2
Q9P126,P16885
Q9P126,O43908
Q9P126,P16109
Q9P126,P07359
Q9P126,O95866
Q9P126,Q12918
Q9P126,Q6UXB4
Q9P126,Q14242
Q9P126,P02776
Q9P126,P07306
P00492,P07741
P00492,P00491
P00492,P49915
P00492,P12268
P00492,Q01433
P00492,P30520
P00492,Q9Y2T3
P00492,P31939
P00492,Q8N142
P00492,P20839
P00492,P51580
P00492,P47989
P00492,Q16774
P00492,P36959
P00492,Q9BY32
P00492,P30566
P00492,P21589
P00492,P49902
P00492,Q9BXI3
P00492,P49961
Q9BY84,P45983
Q9BY84,P45984
Q9BY84,Q16539
Q9BY84,P53778
Q9BY84,O15264
Q9BY84,Q15759
Q9BY84,P28482
Q9BY84,P27361
Q9BY84,Q9UHH9
Q86U44,Q15007
Q86U44,Q15796
Q86U44,Q96MU7
Q86U44,P84022
Q86U44,Q9C0B1
Q86U44,P07910
Q86U44,P22626
Q86U44,Q09161
Q86U44,P55884
Q86U44,P01106
Q86U44,Q06787
P54826,Q15465
P54826,Q4KMG0
P54826,Q9BWV1
P54826,O43323
P54826,Q14623
P54826,P98164
P54826,O43903
P54826,Q96QV1
Q8WWH5,Q9Y606
Q8WWH5,Q96PZ0
Q8WWH5,Q9NX24
Q8WWH5,P22087
Q8WWH5,Q9UBP6
Q8WWH5,P55769
Q8WWH5,O00541
Q8WWH5,Q9UJA5
Q8WWH5,Q14974
Q8WWH5,Q9UQ80
Q5S007,Q99497
Q5S007,P37840
Q5S007,O60260
Q5S007,P31947
Q5S007,P07900
Q5S007,P26038
Q5S007,O00429
Q5S007,P08238
Q5S007,P11142
Q5S007,P10636
Q5S007,Q13882
Q5S007,Q16543
Q5S007,P04062
Q5S007,P27348
Q5S007,P61020
Q5S007,P61981
Q5S007,P62258
Q5S007,Q8IWA4
Q5S007,Q9UKV8
Q5S007,P35222
Q92832,Q96MS0
Q92832,Q9UPZ6
Q92832,Q13018
Q5VWW1,O60242
Q7Z699,P01111
Q7Z699,P01116
Q7Z699,P01112
Q7Z699,P10721
Q7Z699,P20936
Q7Z699,Q8N441
Q7Z699,P04049
Q9BX67,P05107
Q9BX67,Q07157
Q9BX67,P11215
Q9BX67,P57087
Q9BX67,Q9Y624
Q9BX67,P05556
Q9BX67,B1AK53
Q9BX67,Q14195
Q9BX67,Q16625
Q9BX67,Q9Y5K6
Q9BX67,P60763
Q9BX67,P50479
Q9BX67,Q9UM54
Q9BXJ7,O60494
Q9BXJ7,P98164
Q9BXJ7,P27352
Q9BXJ7,P02647
Q9BXJ7,P20062
Q9BXJ7,P98082
Q9NWT6,Q16665
Q9NWT6,P46531
Q9NWT6,P40337
Q9NWT6,Q05086
Q9NWT6,Q9GZT9
Q9NWT6,Q96KS0
Q9NWT6,P27540
Q9NWT6,Q96DX5
Q9NWT6,Q9H6Z9
Q9NWT6,P25963
Q9NWT6,Q15653
O95169,P19404
O95169,Q9NX14
O95169,Q16718
O95169,O43181
O95169,O96000
O95169,O43678
O95169,O95139
O95169,O95168
O95169,P21912
O95169,P20674
O95169,P14927
O95169,P10606
O95169,Q9Y375
O95169,Q8N183
O95169,Q02221
O95169,Q9BU61
O95169,Q2TAK8
O95169,P09669
O95169,P24310
O95169,P52815
P12277,Q96DX5
P12277,P06732
P12277,P06733
P61201,Q99627
P61201,Q9H9Q2
P61201,Q92905
P61201,Q15843
P61201,Q13620
P61201,Q13618
P61201,P19174
P61201,Q13616
P61201,P62993
P61201,Q8TEB1
P61201,P40337
P61201,Q9GZT8
P61201,P61081
P61201,P10828
P61201,Q96GG9
P61201,O43561
P61457,P09417
P61457,P20823
P61457,P17752
P61457,Q9H0N5
P61457,P35270
P61457,P30793
P61457,Q03393
P06681,P01024
P06681,P00736
P06681,P09871
P06681,P11226
P06681,P02747
P06681,P08174
P06681,P08603
P06681,P05156
P06681,P01031
P06681,Q02985
P06681,P15529
P06681,Q03591
P06681,P00751
Q12962,Q7Z7C8
Q12962,Q96ES7
Q12962,Q92831
Q12962,Q16514
Q12962,Q96BN2
Q12962,P20226
Q12962,O75528
Q12962,Q92830
Q12962,Q9UPT9
Q12962,O75478
Q12962,Q00403
Q12962,P52657
Q12962,P29084
Q12962,P29083
Q12962,P19388
Q12962,P13984
Q12962,P36954
Q12962,P23193
Q12962,P19387
Q12962,P52435
O14773,Q9BSI4
O14773,P54274
O14773,P50897
O14773,Q01543
O14773,O75503
O14773,P07339
O14773,P17861
P15918,P01730
P15918,P52294
P15918,P09429
P15918,P01732
P15918,Q12778
P15918,Q9BZS1
P15918,P16871
P15918,P52292
P15918,P31785
P15918,P15814
P15918,P62837
P15918,P60568
P15918,P01579
P15918,P49771
P15918,Q16552
P29762,Q92886
P30532,P25789
P30532,A2RU49
P0CAP2,P19387
P0CAP2,P19388
P0CAP2,P52435
P0CAP2,P36954
P0CAP2,P61218
P0CAP2,P0CAP1
P0CAP2,P53803
P0CAP2,Q9HCN4
P0CAP2,Q9NQG5
P0CAP2,Q96P16
P0CAP2,Q9NWS0
Q8WXI8,Q6EIG7
Q8WXI8,Q9BXN2
Q8WXI8,P43405
Q8WXI8,Q6UXN8
Q8WXI8,Q9H257
O00142,P04818
O00142,P23919
O00142,P19971
O00142,P32320
O00142,P32321
O00142,P04183
O00142,Q9NPB1
O00142,P33316
O00142,O95045
O00142,Q16831
O00142,P00491
O00142,Q8TCD5
O00142,P21589
O00142,Q9BXI3
O00142,P49961
O00142,P49902
O00142,Q969T7
O00142,Q9H0P0
O00142,O75355
O00142,P00374
A8K2U0,P49862
A8K2U0,Q6GPI1
A8K2U0,P17538
A8K2U0,Q92876
A8K2U0,Q92817
Q7Z7K6,P17947
Q7Z7K6,Q15744
Q7Z7K6,P02008
P14625,Q9UBS4
P14625,Q9Y4L1
P14625,P27797
P14625,P11021
P14625,P13667
P14625,Q07954
P14625,P23284
P14625,Q15084
P14625,P27824
P14625,O00206
P14625,P30101
P14625,P07237
P14625,P18850
P14625,P31749
P14625,O60603
P14625,Q16543
P14625,P38646
P14625,Q9HCN8
P14625,Q9BT09
P14625,P08238
P08254,P01033
P08254,P10451
P08254,P03956
P08254,P09238
P08254,P16035
P08254,P14780
P08254,P02751
P08254,P21815
P08254,P35625
P08254,P16112
P08254,P00747
P08254,P40763
P08254,Q9UNA0
P08254,P05231
P08254,Q99727
P08254,O15072
P08254,P01023
P08254,P05121
P08254,O75173
P08254,P01375
Q96MC5,P21912
Q96MC5,Q96NB1
P23284,Q32P28
P23284,P35613
P23284,P13667
P23284,P14625
P23284,P27797
P23284,P49069
P23284,P07237
P23284,Q9UBS4
P23284,P11021
P23284,P27824
P23284,Q9Y4L1
P23284,P02452
P23284,Q15084
P23284,P30101
P23284,P50454
P23284,P26885
P23284,Q9HCN8
P23284,O75344
P23284,Q8IXB1
Q15004,P12004
Q15004,O00762
Q15004,O15392
Q15004,Q9UK53
Q15004,O95229
Q15004,P31350
Q15004,P20248
Q15004,O95067
Q15004,O95997
Q15004,Q96KB5
Q15004,P04818
Q15004,O43683
Q15004,P04183
Q15004,P14635
Q15004,Q96GD4
Q15004,Q9NPD8
Q15004,Q13257
Q15004,Q9NVP2
Q15004,P35222
Q15004,P35249
P15144,Q9BZR6
P15144,P28838
P15144,P09564
P15144,P31947
P15144,P20138
P15144,P08637
P15144,P36269
P15144,Q9BYF1
P15144,O75015
P15144,P27487
P15144,P48507
P15144,P48637
P15144,P10721
P15144,P11215
P15144,P01019
P15144,Q8WUX2
P15144,O75223
P15144,Q9BUX1
P15144,P08473
P15144,Q99935
Q6ZRY4,O43251
Q6ZRY4,Q6NXG1
P53350,P14635
P53350,O14965
P53350,O43683
P53350,O95067
P53350,Q08050
P53350,Q9Y266
P53350,Q02241
P53350,P04637
P53350,O15392
P53350,P30305
P53350,P30304
P53350,Q9H0H5
P53350,P20248
P53350,P07900
P53350,O95997
P53350,O43663
P53350,O14777
P53350,Q96GD4
P53350,Q96BD8
P53350,Q13257
Q15742,P42226
Q15742,Q9UBU9
P42226,P24394
P42226,P05112
P42226,O60674
P42226,Q00978
P42226,Q15306
P42226,P35225
P42226,P31785
P42226,P29597
P42226,Q92793
P42226,P17706
P42226,P78552
P42226,P42229
P42226,Q7KZF4
P42226,Q15742
P42226,P51692
P42226,Q9UHD2
P42226,P22301
P42226,P05231
P42226,P01579
P42226,Q13642
Q9Y6H3,P12956
Q9Y6H3,Q13426
Q9Y6H3,P07992
Q9Y6H3,P43246
Q9Y6H3,Q92889
Q9Y6H3,O60341
Q9Y6H3,Q9H9Q4
Q9Y6H3,P54727
Q9Y6H3,P41208
Q9Y6H3,Q19AV6
P05408,P16519
P05408,Q8WXD2
P05408,P05060
P05408,P10645
P05408,P29120
P05408,O60565
O95081,Q9UBC2
Q15555,Q9UPY8
Q15555,Q15691
Q15555,Q14566
Q15555,Q9NQ79
Q15555,P50053
Q15555,Q96GD4
P12532,Q96DX5
P12532,P17540
P12532,O00746
P12532,P50440
P12532,P07864
P30101,P27797
P30101,O15533
P30101,P61769
P30101,P11021
P30101,P27824
P30101,P14625
P30101,Q96DN0
P30101,P10321
P30101,P13747
P30101,P17693
P30101,Q15084
P30101,Q13586
P30101,P11142
P30101,P40763
P30101,Q9Y4L1
P30101,P17861
P30101,P08238
P30101,P10599
P30101,P04406
P30101,P23284
O43809,Q96MU7
O43809,Q86U42
O43809,Q05048
O43809,P26368
O43809,P61978
O43809,Q15717
O43809,P61326
O43809,Q96A72
O43809,Q13838
O43809,P52298
O43809,P07910
O43809,Q16629
O43809,P09651
O43809,P38919
O43809,Q12905
O43809,P52272
O43809,P31943
O43809,P22626
O43809,Q09161
O43809,Q13247
P12110,P12109
P12110,P12111
P12110,P02452
P12110,P16070
P12110,Q9HCN6
P12110,P02461
P12110,P08648
P12110,Q9UKX5
P12110,P20908
P12110,P18084
P12110,P50454
P12110,Q15113
P12110,P17301
P12110,P05556
P12110,P21810
P12110,Q9P2E9
P12110,P02751
P12110,P07996
P12110,P23229
P12110,P39059
P46108,P00519
P46108,Q13905
P46108,P12931
P46108,P22681
P46108,Q92556
P46108,P00533
P46108,Q05397
P46108,Q8WU20
