protein1,protein2
P00480,Q03154
P00480,P04424
P00480,P29474
P00480,Q15124
P00480,P36871
P00480,P06737
P00480,P11216
P00480,Q96G03
P00480,O75390
Q9BV20,Q13126
Q9BV20,Q9BV57
Q9BV20,Q9BWK5
Q9BV20,P00491
Q9BV20,P35612
Q9BZR6,P20916
Q9BZR6,P08138
Q9BZR6,P15144
Q9BZR6,Q96FE5
Q9BZR6,Q9NS68
Q9BZR6,P23515
Q9BZR6,Q8IZA0
Q9BZR6,O14514
Q9BZR6,Q92979
Q9BZR6,Q16653
Q9BZR6,P05067
Q9BZR6,P23560
Q9BZR6,Q99784
P25789,P49720
P25789,P25788
P25789,P28065
P25789,P49721
P25789,P28066
P25789,P51665
P25789,P20618
P25789,P60900
P25789,P25786
P25789,P28072
P25789,P28070
P25789,P28074
P25789,Q15008
P25789,Q99436
P25789,P25787
P25789,P55036
P25789,O14818
P25789,P17980
P25789,P62195
P25789,O00231
Q9BS86,Q15506
Q9BS86,Q9HBV2
P07585,P00533
P07585,P01137
P07585,P02751
P07585,O60603
P07585,P21810
P07585,P67809
P07585,P05019
P07585,O00206
P07585,P08581
P07585,P98160
P07585,P13611
P07585,P51884
P07585,P16112
P07585,P10600
P07585,P04626
P07585,P21781
P07585,P55001
P07585,P04004
P07585,O15520
P07585,Q9HCT0
Q02223,Q9Y275
Q02223,Q8WU39
Q02223,O14836
Q02223,Q96RJ3
Q02223,P29965
Q02223,P01591
Q02223,Q16633
Q02223,P26842
Q02223,P11912
Q02223,P28907
Q02223,Q96RD9
Q02223,P32970
P43080,Q9UMX6
P43080,Q9NZN9
P43080,Q14028
P28799,Q99523
P28799,Q13148
P28799,P03973
P28799,P98160
P28799,Q9NUM4
P28799,P10636
P28799,P07339
P28799,P07602
P28799,Q9UQN3
P28799,O75390
P28799,P53007
P28799,P19438
P28799,Q9Y295
P28799,Q8WUR7
P28799,P56282
P28799,P20333
P28799,P55072
Q15836,O00161
Q15836,O43752
Q15836,Q16623
Q15836,P60880
Q15836,Q12846
Q15836,Q13277
Q15836,Q96AJ9
Q15836,P51809
Q15836,P61266
Q15836,P32856
Q15836,O60499
Q15836,P63027
Q15836,Q86Y82
Q15836,Q9BV40
Q15836,O95721
Q15836,Q9UEU0
Q15836,O15400
Q15836,O14810
Q15836,P21579
Q15836,P54920
O95399,Q9UKP6
O95399,Q765I0
O95399,P05305
O95399,P61278
O95399,P01019
Q15293,O95229
O43897,Q9H2X0
Q969Z4,O95747
Q969Z4,Q13077
Q969Z4,P37173
Q969Z4,Q9NS68
Q99959,Q14126
Q99959,Q02487
Q99959,P14923
Q99959,Q9UI47
Q99959,Q14574
Q99959,P17302
Q99959,Q02413
Q99959,P32926
Q99959,P10600
Q99959,P35222
Q99959,P19022
Q99959,Q08554
Q99959,P17252
Q99959,P35221
Q99959,Q14896
Q99959,P27448
Q96PE3,Q01968
Q96PE3,P32019
Q96PE3,P60484
Q96PE3,Q92835
Q96PE3,Q9NRR6
Q96PE3,O00443
Q96PE3,Q8NEB9
Q96PE3,Q13613
Q96PE3,Q9Y217
Q96PE3,Q92562
Q96PE3,Q14642
Q96PE3,Q13572
Q96PE3,P27986
Q96PE3,O14732
Q96PE3,O15327
Q96PE3,P29218
Q96PE3,Q9Y216
Q96PE3,Q9NX62
Q96PE3,P20339
P20273,P29350
P20273,P11912
P20273,P07948
P20273,P40259
P20273,P43405
P20273,Q8TD46
P20273,P06127
P20273,P20023
P20273,P21854
P20273,P60033
P20273,P08473
P20273,P01730
P20273,P06729
P20273,P28907
P20273,P62993
P20273,P22466
P20273,P09564
P20273,Q8WV28
P20273,Q6ZMC9
P20273,Q7Z6A9
O15499,P53007
Q92519,P19474
Q92519,P51965
Q96G74,P0CG48
Q96G74,P62979
Q96G74,P0CG47
Q96G74,Q9UHD2
Q96G74,P51784
Q9NSC7,Q96EU7
Q9NSC7,Q02742
Q9NSC7,Q6ZMB0
Q9NSC7,Q8N4A0
Q9NSC7,Q10471
Q9NSC7,Q10472
Q9NSC7,Q14435
Q9NSC7,Q11201
Q9NSC7,Q9HCQ5
Q9NSC7,Q8NCW6
Q9NSC7,Q16842
Q9NSC7,Q8N428
Q9NSC7,Q86SR1
Q9NSC7,Q9H1K4
Q9NSC7,P02774
Q9NSC7,Q9BVH7
P32942,Q9NNX6
P32942,P05107
P32942,P20701
P32942,Q9H2X3
P32942,P13598
P32942,P05362
P32942,P26038
P32942,Q14624
P32942,P19320
P32942,P01730
Q14807,Q9Y6A5
Q14807,Q9NPH6
Q14807,P56270
Q14807,O15392
Q14807,O43663
Q14807,Q9H0H5
Q14807,P53350
Q14807,Q9NY56
Q14807,O14965
Q14807,P31025
Q14807,Q96KB5
Q14807,O00762
Q14807,Q02241
Q14807,P20248
Q14807,P05090
Q14807,Q9BW71
P19438,P01374
P19438,Q13490
P19438,Q9NQC7
P19438,Q15628
P19438,O14920
P19438,P01375
P19438,Q13546
P19438,Q13489
P19438,P20333
P19438,Q9Y6K9
P19438,P25445
P19438,Q13158
P19438,Q14790
P19438,P48023
P19438,Q9H0F6
P19438,Q9UHD2
P19438,P21580
P19438,Q96EP0
P19438,P05231
P19438,P01584
P81277,O15130
P81277,P83859
P81277,P01236
O95633,O14793
O95633,P08476
O95633,O95390
O95633,P09529
O95633,P12643
P29322,P52803
P29322,O43921
P29322,P20827
P29322,P52797
P29322,P00519
P29322,P52798
P29322,P20936
P29322,Q15768
P29322,P98172
P29322,P52799
P29322,P54760
P02533,P13647
P02533,P08779
P02533,Q04695
P02533,Q9H3D4
P02533,P32926
P02533,P06401
P02533,P02538
P02533,Q02413
P02533,P23229
P35900,P12273
P35900,Q06710
P35900,P10645
P35900,P09104
P35900,P22676
P35900,P08473
P35900,P13591
P35900,P15941
Q99714,P30084
Q99714,P09110
Q99714,O75817
Q99714,Q15633
Q99714,O75818
Q99714,Q9BUL9
Q99714,P78346
Q99714,Q9UKV8
Q99714,Q6UWP2
Q99714,P05067
Q99714,Q16836
Q99714,Q9BVS5
Q99714,Q08211
Q99714,O75569
Q99714,P42126
Q99714,O75460
Q99714,Q9UL18
Q99714,Q9H9G7
P08620,P11362
P08620,P21802
P08620,P22455
P08620,Q9UEF7
P08620,P01133
P08620,P22607
P08620,P98160
P08620,Q86Z14
P08620,Q14512
P08620,P07585
P08620,P35968
P08620,Q15465
P08620,P16070
P08620,P00533
P08620,P35916
P08620,P09619
P08620,P04629
P08620,P14210
P08620,P19022
P08620,P16234
P15907,P15291
P15907,O60909
P15907,O60512
P15907,Q96JF0
P15907,Q09328
P15907,Q9BYC5
Q9BVV7,Q3ZCQ8
Q9BVV7,O14925
Q9BVV7,P62072
Q9BVV7,Q96DA6
Q9BVV7,P38646
Q9BVV7,O95169
Q9BVV7,Q9Y5T4
Q9BVV7,Q9HAV7
Q9BVV7,Q7Z6M1
Q9BVV7,Q9Y512
Q9BVV7,Q10713
P08138,P23560
P08138,P20783
P08138,P01138
P08138,P04629
P08138,Q96FE5
P08138,Q99523
P08138,P34130
P08138,Q9BZR6
P08138,O43353
P08138,P52565
P08138,Q16620
P08138,Q9Y5V3
P08138,P61586
P08138,Q16288
P08138,P52566
P08138,P05067
P08138,Q15628
P08138,Q96PQ0
P08138,P23515
P08138,Q13158
O95631,Q6ZN44
O95631,O60469
O95631,Q8IZJ1
O95631,P43146
O95631,O95185
O95631,Q92859
O95631,Q6UXZ4
O95631,Q8NBI3
O95631,Q6NW40
O95631,O75094
O95631,Q96MS0
O95631,Q9HCK4
O95631,Q9Y6N7
O95631,O94813
O95631,P06241
O95631,O75093
O95631,Q05397
O95631,P60953
O95631,P12931
O95631,Q14563
P09683,P01282
P09683,P01275
P09683,P18509
P09683,P09681
P09683,O95467
P09683,P01286
P09683,P43220
P09683,P61278
P09683,P06307
P09683,P01298
P09683,P01270
P09683,P12872
P09683,P30988
P09683,P41586
P09683,P06850
P09683,P01308
P09683,P07492
P09683,P30990
P09683,P48960
P09683,P10082
O94804,P61586
O43570,Q16790
Q13163,Q99759
Q13163,Q05513
Q13163,Q13501
Q9NQ88,P04637
Q9NQ88,P08237
Q9NQ88,P52789
Q9NQ88,Q16875
Q9NQ88,Q16877
Q9NQ88,P16118
Q9NQ88,O00757
Q9NQ88,P09467
Q9NQ88,P34949
Q9NQ88,P60174
Q9NQ88,O43819
Q9NQ88,P19367
Q9NQ88,P52790
Q9NQ88,P14618
Q9NQ88,P00558
Q9NQ88,P06744
Q9NP95,P11362
Q9NP95,P21802
Q9NP95,P22455
Q9NP95,Q9UEF7
Q9NP95,P01133
Q9NP95,P22607
Q9NP95,P98160
Q9NP95,Q14512
Q9NP95,P07585
Q9NP95,P35968
Q9NP95,P00533
Q9NP95,P35916
Q9NP95,Q86Z14
Q9NP95,Q8WU20
Q9NP95,P09619
Q9NP95,P04629
Q9NP95,P16070
Q9NP95,P19022
Q9NP95,P17948
Q9NP95,P14210
Q9Y216,Q92562
Q9Y216,O15327
Q9Y216,Q96PE3
Q9Y216,Q9Y2H2
Q9Y216,Q8NEB9
Q9Y216,Q8N3E9
Q96IY4,P00734
Q96IY4,P00747
Q96IY4,P15086
Q96IY4,P00750
Q96IY4,P08697
Q96IY4,P01031
Q96IY4,P16870
Q96IY4,P36955
Q96IY4,P15169
Q96IY4,P01024
Q96IY4,P01023
Q96IY4,P01042
Q96IY4,P02679
Q96IY4,P05121
Q96IY4,P01008
Q96IY4,P05546
Q96IY4,P03951
Q96IY4,P08709
Q96IY4,P04070
Q96IY4,P02749
O95168,P19404
O95168,Q16718
O95168,O95169
O95168,Q9NX14
O95168,O43181
O95168,O95139
O95168,O43678
O95168,O96000
O95168,P14927
O95168,P20674
O95168,P09669
O95168,P10606
O95168,Q9Y375
O95168,P24310
O95168,Q02221
O95168,Q8N183
O95168,P18859
O95168,Q9BU61
O95168,P48047
O95168,Q96CU9
Q96DZ1,Q9BUN8
Q96DZ1,P27824
Q96DZ1,P14625
Q96DZ1,Q9Y385
Q96DZ1,Q8NCW0
Q96DZ1,Q9UKM7
Q96DZ1,P55072
Q96DZ1,Q96CS3
Q96DZ1,P01009
Q96DZ1,P60604
Q96DZ1,P11021
Q96DZ1,Q9BV94
Q96DZ1,P27797
Q96DZ1,Q14165
Q96DZ1,Q8IXB1
Q96DZ1,Q15465
Q9NZA1,P15311
Q9NZA1,P35241
Q9NZA1,Q14651
Q9NZA1,Q9Y696
Q9NZA1,O15247
Q9NZA1,P26038
Q9NZA1,Q12792
Q9NZA1,Q9H4G0
Q12884,P00813
Q12884,P01275
Q12884,P02751
Q9H3Q3,P23919
Q9H3Q3,Q9GZS9
Q86WC4,P00918
Q86WC4,Q9Y6Q6
Q86WC4,O14788
P55809,P24752
P55809,P35914
P55809,Q9BWD1
P55809,P54868
P55809,Q9BUT1
P55809,Q86V21
P55809,Q01581
P55809,P09110
P55809,P21912
P55809,Q9BU89
Q9UKJ1,Q06124
Q9UKJ1,Q8TCZ2
Q9UKJ1,Q8IYJ0
Q9UKJ1,Q6GTX8
Q9UKJ1,Q5KU26
Q9UKJ1,Q92956
Q9UKJ1,Q9NQX5
Q9UKJ1,P29350
Q9UKJ1,Q6UXB4
Q9UKJ1,Q8NHL6
Q9UNQ2,Q9NYH9
Q9UNQ2,Q92979
Q9UNQ2,P22087
Q9UNQ2,P25398
Q9UNQ2,P55769
Q9UNQ2,P39019
Q9UNQ2,P46782
Q9UNQ2,Q9UI30
Q9UNQ2,P61247
Q9UNQ2,P62263
Q9UNQ2,P62081
Q9UNQ2,Q9Y221
Q9UNQ2,P62701
Q9UNQ2,Q9UKD2
Q9UNQ2,P62979
Q9UNQ2,Q9UBP6
Q9UNQ2,Q9BXY0
Q9UNQ2,P60866
Q9UNQ2,P23396
Q9UNQ2,Q9Y3B2
Q8N427,Q9UI46
Q8N427,Q9NQ75
Q8N427,Q8IW40
Q8N427,P51808
Q8N427,P63172
Q8N427,P10599
Q8N427,Q9UJ68
Q8N427,Q92835
P09105,P02042
P09105,P02100
P09105,P68871
P09105,Q9NZD4
P09105,P69892
P09105,P02008
P09105,Q8TAC1
P09105,P00738
Q9NW64,P62306
Q9NW64,O95926
Q9NW64,P41223
Q9NW64,P09661
Q9NW64,Q9UMS4
Q9NW64,P62304
Q9NW64,P62308
Q9NW64,P08579
Q9NW64,P62318
Q9NW64,Q9Y3C6
Q9NW64,P62316
Q9NW64,Q14562
Q9NW64,Q9UNP9
Q9NW64,Q92620
Q9NW64,Q9BW85
Q9NW64,Q8TAD8
Q9NW64,P38919
Q9NW64,Q15427
